community,avg_inner_edge_weight
11899,2
302542,4
1621491,2
273491,3.666666667
136545,3.916666667
1347662,2
369086,3
69346,2
177241,2
66143,2
604830,2
1140314,2
438833,2.333333333
94539,3
6265,2
401537,2.833333333
209692,2
1586806,2
98594,2
72746,4.5
663129,2
101860,3
445436,2
1009971,2.166666667
1150183,2.5
305287,3
955072,2
57243,3.461538462
5547,3.375
677977,2
2344,2.869198312
263936,2
126990,4.8
913721,2
212240,4
101142,2.603174603
241354,2
104408,4.533333333
706373,2.166666667
100487,2
362079,1.666666667
975286,2
63191,3
177555,8.857142857
203403,2.666666667
40609,1.828125
66457,2
572827,2
435881,2.5
601941,2.333333333
302201,2.571428571
162052,2.238095238
505628,2
397796,2
371948,2.5
202685,2
39954,4
65802,2.5
298280,2.357142857
438492,2.142857143
164600,2
670970,3
400344,2.444444444
65084,2.5
375348,2
939883,2
72405,2.333333333
499994,2.333333333
640206,2
706687,2
168000,2.52173913
56902,2
5206,1.947368421
292646,4
374693,3
100801,4.416666667
1008975,2
897877,2
85298,2.981818182
59450,2.090909091
199662,5
173814,2
4551,2
572352,2.375
155045,3
103349,3
269409,2.5
505942,2
202999,2
232113,4
95167,2.181818182
40268,1.75
161711,2.272727273
24765,3
135863,7.636363636
368341,2
65398,2
463936,2
438088,2
160993,2
275357,2.333333333
27313,10.86666667
670629,4
238061,2
470602,3.25
307808,2.333333333
59764,4.666666667
30713,2.714285714
458302,2
540349,1.666666667
266457,3
126308,3
498998,2.666666667
387900,3
336204,2
170207,2
196055,2
33261,4.130434783
294853,2.833333333
239954,2.166666667
103008,5.153846154
154704,2
17758,2
527394,2.25
87505,2
61657,3.875
164573,2
422962,2
371266,5.333333333
906687,2
1416323,2
94171,2
441013,2
973231,2
23706,3.25
138070,2.5
533342,2
26972,4.931726908
119301,2.2
233665,3.2
93453,2.428571429
96719,2.642857143
329260,2
192314,2
26317,2.5
30372,3.916666667
266116,2
661388,2
18072,3
100119,3.543209877
125967,2
390762,2.8
335863,3
250613,2
731135,2.333333333
734401,2
460509,2
941094,2
693050,4
102667,1.666666667
17417,2.8
227313,2
61316,2.428571429
625851,3
32265,4.333333333
322908,2
821096,2.333333333
230713,3
119615,3
766197,2
233979,2
122881,3.5
495571,1.666666667
215210,11
329574,2
23365,2.913461538
192628,1.875
52479,2.740740741
26631,1.923076923
399321,2
259109,3.25
425169,2.666666667
262375,3.5
93112,3.785714286
122226,2.125
96378,2
1304229,2
465802,2
354704,2
469068,1.714285714
162859,9
51761,2
25913,2
55027,2.666666667
424451,3
693364,2
128829,2
524101,2
638465,2
664313,2
221158,2
250272,2.666666667
87478,2.666666667
58427,2.555555556
294171,3.333333333
157225,3
46127,2.857142857
689443,2.5
128174,2.5
17076,2.833333333
1231396,2
526712,2
