avg_PR,avg_PR_val,avg_PR_top_collabs,avg_disrupt,avg_disrupt_val,avg_disrupt_top_collabs,unique_coauthor_profs_lin_damp,unique_coauthor_profs_lin_damp_val,unique_coauthor_profs_lin_damp_top_collabs
Manuel A. Rivas,0.110633446,"[""Jane Peterson"",""Felsenfeld Al"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""Mark S. Guyer""]",Jeffery M. Klco,-0.003115614,"[""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton""]",Deqing Pei,26.71241242,"[""David J. Dooling"",""Lucinda Fulton""]"
Zhuzhu Zhang,0.108103007,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",Manuel A. Rivas,-0.003395638,"[""Jane Peterson"",""Felsenfeld Al"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""Mark S. Guyer""]",B. Arman Aksoy,25.75295932,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]"
Karsten Hokamp,0.102769992,"[""Steven E. Scherer"",""Tobias Doerks"",""Aravind Subramanian"",""Jane Peterson"",""Ian Korf"",""Todd M. Lowe"",""Felsenfeld Al"",""Deanna M. Church"",""Terrence S. Furey"",""Michael C. Wendl"",""Arian Smit"",""Alan Coulson"",""Michael C. Zody"",""Sean R. Eddy"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Kevin McKernan"",""David R. Bentley"",""Mark T. Ross"",""W. James Kent"",""Mark S. Guyer""]",Karsten Hokamp,-0.003494441,"[""Steven E. Scherer"",""Tobias Doerks"",""Aravind Subramanian"",""Jane Peterson"",""Ian Korf"",""Todd M. Lowe"",""Felsenfeld Al"",""Deanna M. Church"",""Terrence S. Furey"",""Michael C. Wendl"",""Arian Smit"",""Alan Coulson"",""Michael C. Zody"",""Sean R. Eddy"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Kevin McKernan"",""David R. Bentley"",""Mark T. Ross"",""W. James Kent"",""Mark S. Guyer""]",Christopher A. Bristow,25.10116265,"[""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Mark S. Guyer""]"
Peter H. Sudmant,0.100884014,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",Jingyi Jessica Li,-0.003619942,"[""Michael B. Eisen"",""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",Vincent Magrini,24.94158151,"[""Granger G. Sutton"",""Jane Peterson"",""Josep F. Abril"",""Terrence S. Furey"",""Michael C. Wendl"",""Arian Smit"",""David J. Dooling"",""Sean R. Eddy"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]"
Sarah M. McWhirter,0.100224832,"[""Tom Maniatis""]",Vincent Magrini,-0.00362995,"[""Granger G. Sutton"",""Jane Peterson"",""Josep F. Abril"",""Terrence S. Furey"",""Michael C. Wendl"",""Arian Smit"",""David J. Dooling"",""Sean R. Eddy"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",Zamin Iqbal,24.9329746,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]"
Zamin Iqbal,0.098901215,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",Sachet A. Shukla,-0.004043483,"[""Jane Peterson"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",Lukas D. Wartman,24.58621853,"[""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton""]"
Nathan Boley,0.095651039,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",Gordon Saksena,-0.004354523,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",Yinlong Xie,23.58501246,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]"
T. Daniel Andrews,0.091471199,"[""Steven E. Scherer"",""Alan Coulson"",""LaDeana W. Hillier"",""David R. Bentley"",""Mark T. Ross""]",Efsevia Vakiani,-0.004359777,"[""Jane Peterson"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",Felix Schlesinger,23.47004816,"[""Terrence S. Furey"",""LaDeana W. Hillier"",""Webb Miller"",""W. James Kent""]"
Petar Stojanov,0.090855687,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",Qunyuan Zhang,-0.004750424,"[""Steven E. Scherer"",""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Michael C. Zody"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""Robert C. Onofrio"",""W. James Kent"",""Mark S. Guyer""]",Gordon Saksena,23.44940811,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]"
Hugo Y K Lam,0.090563169,"[""Jane Peterson"",""Felsenfeld Al"",""Stephen T. Sherry"",""Terrence S. Furey"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Webb Miller"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",Bryan R. Lajoie,-0.004815113,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",David J. Witherspoon,23.38502401,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]"
