avg_disrupt,avg_disrupt_val,last_author_yr,last_author_yr_val,max_disrupt,max_disrupt_val,median_disrupt,median_disrupt_val,min_disrupt,min_disrupt_val,num_disrupt,num_disrupt_val
Bianca Calabria,0.11815738292475945,Mihajlo B. Jakovljevic,2017,Justin Beardsley,0.4723618090452261,Emilie E. Agardh,0.004466858733775685,Giorgia Giussani,0.0003359086328518643,Najaf Amin,22
Gene F. Kwan,0.09508550342990267,Hassan Magdy Abd El Razek,2017,Holly E. Erskine,0.4723618090452261,Carly E Levitz,0.0034463959851238173,Ademola Lukman Adelekan,0.0003359086328518643,Alex K. Shalek,19
Glen Liddell Mola,0.09490736783942642,Clotilde Lagier-Tourenne,2016,Fiona J. Charlson,0.4723618090452261,Holly E. Erskine,0.002797985450475657,Carly E Levitz,0.00022742779167614282,Nir Yosef,16
Samantha M. Colquhoun,0.07898146073736571,Amelia Bertozzi-Villa,2016,Samantha M. Colquhoun,0.4723618090452261,Samia Alhabib,0.0027643400138217,Thomas W. Winkler,0.0,M. Gordon Joyce,15
Sajjad Ur Rahman,0.06809810712495286,Stephanie K. Dougan,2016,Semaw Ferede Abera,0.4723618090452261,Gene F. Kwan,0.0027643400138217,Hwan Geun Choi,0.0,Irene Jarchum,15
Emilie E. Agardh,0.06639567564501732,Marcus A. Tuke,2016,Emilie E. Agardh,0.4723618090452261,Amelia Bertozzi-Villa,0.0020408163265306124,Irene Jarchum,0.0,Omri Gottesman,14
Hebe N. Gouda,0.06611831446312129,Hebe N. Gouda,2016,Saeid Shahraz,0.4723618090452261,Caitlyn Steiner,0.0018659629435339754,Glen Liddell Mola,0.0,Daniel J. Weisenberger,14
Fiona J. Charlson,0.05951940487220155,Fiona J. Charlson,2016,Bianca Calabria,0.4723618090452261,Bianca Calabria,0.0018659629435339754,Sergey Soshnikov,-7.236675471288491e-05,Rahul Satija,14
Holly E. Erskine,0.059329265623401586,Tune H. Pers,2016,Sajjad Ur Rahman,0.4723618090452261,Sergey Soshnikov,0.0018347605481417852,Samia Alhabib,-7.236675471288491e-05,Michael J. Ziller,13
Justin Beardsley,0.0591714821677588,Julia Mahamid,2016,Glen Liddell Mola,0.4723618090452261,Fiona J. Charlson,0.001034939321102843,Charles Y. Lin,-0.00035816618911174784,Serena Nik-Zainal,13
John N. Newton,0.053086679268996136,Angela M. Hancock,2016,Gene F. Kwan,0.4723618090452261,Hebe N. Gouda,0.0009675858732462506,Diane E. Dickel,-0.0004410726887791108,Nicholas McGranahan,12
Saeid Shahraz,0.052982889621063,Samantha M. Colquhoun,2016,Hebe N. Gouda,0.4723618090452261,John N. Newton,0.0009675858732462506,Zhenglin Du,-0.0005583472920156337,Travis I. Zack,12
Semaw Ferede Abera,0.04423135871653616,Jung Chen Chang,2016,John N. Newton,0.4723618090452261,Giorgia Giussani,0.0009675858732462506,Matthijs Moed,-0.000646830530401035,Loic Yengo,12
Lijia Ma,0.011983805764021806,Katherine B. Gibney,2016,Vittorio Sebastiano,0.05,Christina Fitzmaurice,0.0009675858732462506,Freerk van Dijk,-0.0006841817186644773,Peter Van Loo,12
Matthijs Moed,0.009268520596327507,Niccolo Bolli,2016,Matthijs Moed,0.03862660944206009,Sajjad Ur Rahman,0.0009675858732462506,Jesse M. Engreitz,-0.000765345170671973,Ludmil B. Alexandrov,12
Carly E Levitz,0.0090912578831266,Nicola Waddell,2016,Lijia Ma,0.038461538461538464,Samantha M. Colquhoun,0.000919560759527082,Zongzhi Liu,-0.0008450704225352112,Niek Verweij,12
Samia Alhabib,0.009019904999139529,Christina Fitzmaurice,2016,Caitlyn Steiner,0.029244811770582625,Stephanie K. Dougan,0.0008926295328532279,Amelia Bertozzi-Villa,-0.0009242144177449168,Semaw Ferede Abera,12
Vittorio Sebastiano,0.0089073532349676,Gene F. Kwan,2016,Samia Alhabib,0.029244811770582625,Katherine B. Gibney,0.0008715356458079134,Zhaoshi Jiang,-0.0009396937703830632,Karol Estrada,11
Sergey Soshnikov,0.007878507920446353,Lawrence N. Kwong,2016,Sergey Soshnikov,0.029244811770582625,Aref Bin Abdulhak,0.0008715356458079134,Guanjie Chen,-0.0009711197432866071,Paul L. Auer,11
Caitlyn Steiner,0.0063592208852759095,Aref Bin Abdulhak,2016,Carly E Levitz,0.029244811770582625,Tom Achoki,0.0008715356458079134,Marco Groth,-0.0009861392647783926,Gwo-Yu Chuang,11
Amelia Bertozzi-Villa,0.001996632085254751,Tom Achoki,2016,Maria Romina Girotti,0.018867924528301886,Nicholas Kassebaum,0.0008715356458079134,Charles G. Danko,-0.0011447260834014715,Saeid Shahraz,10
Giorgia Giussani,0.0013559448399732715,Michael E. Pacold,2016,Jurre J. Kamphorst,0.014423076923076926,Glen Liddell Mola,0.0008715356458079134,Silke C. Wenzel,-0.001177856301531213,Caitlyn Steiner,10
Christina Fitzmaurice,0.0012827337766043365,Gordon Saksena,2016,Irene Jarchum,0.008695652173913044,Saeid Shahraz,0.0008359056126794633,Thomas Q. de Aguiar Vallim,-0.0012394133443503407,Grant Nguyen,10
Grant Nguyen,0.0009678772609848401,Franziska Degenhardt,2016,Jouke Jan Hottenga,0.0071428571428571435,Grant Nguyen,0.0006532536863228345,Alejandra Bruna,-0.0012586532410320955,Sachet A. Shukla,10
Mattia Pelizzola,0.0006972004260160723,Justin Beardsley,2016,Carolina Medina-Gomez,0.0071428571428571435,Semaw Ferede Abera,0.0006532536863228345,Mallika Singh,-0.0013034410844629822,Jouke Jan Hottenga,10
Ademola Lukman Adelekan,0.0006406818078136744,Louise A. Donnelly,2016,Tanja A. Gruber,0.006502302898943376,Ademola Lukman Adelekan,0.0006296163625782912,Alex S. Nord,-0.0013480722566729575,Sahil Seth,10
Nicholas Kassebaum,0.0006104503404210049,Giorgia Giussani,2016,Mattia Pelizzola,0.004901960784313725,Justin Beardsley,0.0006296163625782912,Jingqin Luo,-0.0013654984069185253,Matthew S. Davids,9
Irene Jarchum,0.0005797101449275362,Marina Caskey,2016,Amelia Bertozzi-Villa,0.004873294346978557,Jung Chen Chang,0.0006296163625782912,Rona J. Strawbridge,-0.0014144271570014145,Philipp A. Lang,9
Tom Achoki,0.00031212016312442785,Thomas W. Winkler,2016,Christina Fitzmaurice,0.004873294346978557,Nabila Bouatia-Naji,0.00014104372355430183,Lee B. Rivera,-0.0014426544842510221,Ryan D. Morin,9
Katherine B. Gibney,0.0002950333864942754,Rona J. Strawbridge,2016,Grant Nguyen,0.0045829514207149395,Irene Jarchum,0.0,Julia von Blume,-0.001483679525222552,Eli A. Stahl,9
Hwan Geun Choi,0.000261643118785976,Yulia Newton,2016,Mark Cadungog,0.00411522633744856,Hwan Geun Choi,0.0,Lijia Ma,-0.0015003261578604044,David C. Wedge,9
Jung Chen Chang,0.00014825373559397225,Joseph Vijai,2016,Stephanie K. Dougan,0.004008016032064128,Pierre Sujobert,0.0,Alexander Strong,-0.001538816649996153,Georgi K. Marinov,9
Thomas W. Winkler,0.0,Jesse M. Engreitz,2016,Trevor J. Pugh,0.00398535990239935,Thomas W. Winkler,0.0,Talya Lucia Dayton,-0.0015677491601343784,Tune H. Pers,9
Trevor J. Pugh,-6.0707931561747534e-05,Matthijs Moed,2016,Andrea Ganna,0.002939983779399838,Jonathan M. Dreyfuss,0.0,Jason A. Belsky,-0.0015735641227380016,John N. Newton,9
Zhenglin Du,-0.00018368004415748784,Scott Krauss,2016,Tom Achoki,0.002797985450475657,Rona J. Strawbridge,0.0,Nicola Waddell,-0.0016163793103448276,Holly E. Erskine,9
Lee B. Rivera,-0.00018747587019886635,Mattia Frontini,2016,Jung Chen Chang,0.002797985450475657,Kirsten D. Mertz,0.0,Gabriel Renaud,-0.0016924879572972268,Alena Stančáková,8
Diane E. Dickel,-0.0001932370860096921,Sajjad Ur Rahman,2016,Nicholas Kassebaum,0.002797985450475657,Gaia Novarino,0.0,Mikkel Schubert,-0.0017540857362881837,Emilie E. Agardh,8
Charles Y. Lin,-0.00020876022466559795,Ademola Lukman Adelekan,2016,Giorgia Giussani,0.0027643400138217,May Christine V. Malicdan,0.0,Nabila Bouatia-Naji,-0.0017781729273171815,Marina Caskey,8
Jonathan M. Dreyfuss,-0.00027933182089698137,Anne E. Justice,2016,Katherine B. Gibney,0.0027643400138217,Sara L. Pulit,0.0,May Christine V. Malicdan,-0.0018077053440289234,Melanie Waldenberger,8
Nabila Bouatia-Naji,-0.0003318581518320995,Adnan M. Nagrial,2016,Sarah Nikiforow,0.002173913043478261,Anne E. Justice,0.0,Hassan Magdy Abd El Razek,-0.0018484288354898336,Maria Romina Girotti,8
Guanjie Chen,-0.00035623580148990677,Hwan Geun Choi,2016,Jared T. Simpson,0.001953125,Zhenglin Du,-4.595799439312469e-05,Mihajlo B. Jakovljevic,-0.0018484288354898336,Manuel A. Rivas,8
Maria Romina Girotti,-0.00037267983307902314,Bryan R. Lajoie,2016,Kivanc Birsoy,0.0019317450096587247,Silke C. Wenzel,-6.502373366278691e-05,Semaw Ferede Abera,-0.0018484288354898336,Kimberly Chambert,8
Jouke Jan Hottenga,-0.0003976760932193649,Jason Roszik,2016,Omar O. Abudayyeh,0.0017035775127768314,Janine F. Felix,-8.733624454148471e-05,Lakshmi Muthuswamy,-0.0018525052928722652,Justin Beardsley,8
Silke C. Wenzel,-0.0004142933450646667,Tibor V. Varga,2016,Alexander W. Drong,0.0015600624024961,Michela Traglia,-0.00010284891494394734,Cecilia S. Lindestam Arlehamn,-0.0019264523310073202,Narisu Narisu,8
Gaia Novarino,-0.0004415183341575839,Grant Nguyen,2016,Melanie Waldenberger,0.0015600624024961,Diane E. Dickel,-0.00013863856924996534,Kirsten D. Mertz,-0.0019315188762071996,Rileen Sinha,8
Rona J. Strawbridge,-0.0004714757190004715,Gabriel Renaud,2016,Nabila Bouatia-Naji,0.0012400354295837026,Nicola Waddell,-0.0002019658004577892,Cornelia Huth,-0.001965923984272608,Wyne P. Lee,8
Marco Groth,-0.0004912556622306171,Glen Liddell Mola,2016,Alan C. Mullen,0.0011037527593818985,Trevor J. Pugh,-0.0002207505518763797,T. Daniel Andrews,-0.0020001600128010237,Sergey Soshnikov,8
Nicola Waddell,-0.0005050777278151014,Aaron S. Brewster,2016,Gaia Novarino,0.0010496850944716584,Guanjie Chen,-0.00022691173133651012,Jonathan M. Dreyfuss,-0.0020232675771370764,Omar O. Abudayyeh,8
Anne E. Justice,-0.0005075068724888981,Sara L. Pulit,2016,Ademola Lukman Adelekan,0.0009675858732462506,Jared T. Simpson,-0.00023899757588173037,Ida Surakka,-0.0020930719319053933,David A. Barbie,8
Freerk van Dijk,-0.0005299594150044991,Diane E. Dickel,2016,Aref Bin Abdulhak,0.0009675858732462506,Charles Y. Lin,-0.0002681144848850459,Dustin E. Schones,-0.002185526954832443,Peter H. Sudmant,8
Jesse M. Engreitz,-0.0005315493591149347,Andrei V. Krivtsov,2016,Anne Brüstle,0.0009652509652509653,Rajkumar Noubade,-0.00027649769585253456,Andaine Seguin-Orlando,-0.002279157497642251,Richard Bourgon,8
Zhaoshi Jiang,-0.0005360936528960333,Nicholas Kassebaum,2016,Michael J. Ziller,0.000931619154089808,Jingqin Luo,-0.00028200789622109416,Domitille Chalopin,-0.002341855851884505,Alex A. Pollen,8
Aref Bin Abdulhak,-0.0005416939047340623,Katayoon Kasaian,2016,Lee B. Rivera,0.0009199632014719412,Carolina Medina-Gomez,-0.00028723979453906465,Arthur L. Shaffer,-0.0023623907394283014,Fiona J. Charlson,8
Jingqin Luo,-0.0005491687677132065,Charles Y. Lin,2016,Rajkumar Noubade,0.0008977869551555416,Melanie Waldenberger,-0.0002933352559326877,Manoj Bhasin,-0.0023741690408357074,Ernest Turro,8
Hassan Magdy Abd El Razek,-0.0005870491265739418,Mark Cadungog,2015,Matthew S. Davids,0.0008920606601248885,Mattia Frontini,-0.00031025896830969853,Mattia Pelizzola,-0.002385731056159352,Tomasz Gambin,7
May Christine V. Malicdan,-0.0006025684480096413,Nicholas McGranahan,2015,Rana K. Gupta,0.0008012820512820513,Heiner Kuhl,-0.00034289030147970355,Wyne P. Lee,-0.0023925128421645203,Nicholas Kassebaum,7
Alex S. Nord,-0.0006354075695159631,Alena Stančáková,2015,Jonathan M. Dreyfuss,0.0007942811755361397,Ida Surakka,-0.00034676735763273484,Elgene Lim,-0.0025028879476318828,Michela Traglia,7
Kirsten D. Mertz,-0.0006438396254023997,Lukas D. Wartman,2015,Hwan Geun Choi,0.0007849293563579277,Lee B. Rivera,-0.0003567818279122317,Pirjo Komulainen,-0.0025375343624444912,Hebe N. Gouda,7
Charles G. Danko,-0.0006632020368125442,Michael J. Jurczak,2015,Arthur L. Shaffer,0.0006872852233676976,Aaron S. Brewster,-0.0003777861730260672,Janine F. Felix,-0.0025375343624444912,Mazhar Adli,7
Andrea Ganna,-0.0006667184257742451,Kyriaki Michailidou,2015,Kunhong Xiao,0.0006732495511669659,Scott Krauss,-0.00038749677086024286,Anette P. Gjesing,-0.0025375343624444912,Sajjad Ur Rahman,7
Zongzhi Liu,-0.0006701064090214207,Fernando Racimo,2015,Daniel J. Weisenberger,0.000649772579597141,Jong-Yeon Shin,-0.00040052333655615037,Anne E. Justice,-0.0025375343624444912,Trevor J. Pugh,7
Thomas Q. de Aguiar Vallim,-0.0006794883713626494,Pirjo Komulainen,2015,Katayoon Kasaian,0.000649772579597141,Arthur L. Shaffer,-0.0004177109440267335,Teppei Shimamura,-0.002563252012906728,Daniele Merico,7
Tanja A. Gruber,-0.0006918816613936313,I. Bozic,2015,Gordon Saksena,0.000649772579597141,Mattia Pelizzola,-0.0004246284501061571,Sara L. Pulit,-0.002597402597402597,Qiaomei Fu,7
