avg_PR,avg_PR_val,max_PR,max_PR_val,median_PR,median_PR_val,min_PR,min_PR_val,avg_AR,avg_AR_val,max_AR,max_AR_val,median_AR,median_AR_val,min_AR,min_AR_val
Michael K. Showe,3.036410167,Sarah Milne,179.527591,D L Kasper,0.670965,Olof H. Pearson,0.15,William H. Dietz,1.650420271,John M.C. Gutteridge,96.426814,Peter K. Wellauer,0.44866025,Olof H. Pearson,0.15
Jay R. Ritter,3.035994644,L. Aravind,179.527591,Pentti K. Siiteri,0.67071,Olof Johansson,0.15,David W. Tank,1.650052203,M. H. Gault,95.3982205,Sibley Ld,0.44856675,Olof Johansson,0.15
S. L. McCall,3.034149777,Andreas Rump,179.527591,E. Rolland Dickson,0.670251,Olof Johnell,0.15,Jean-Roger Le Gall,1.650027202,Daniel E. Goldberg,94.972702,Eduard C. Hurt,0.448486,Olof Johnell,0.15
Ahmed M. El-Nahas,3.034111045,David L. Nelson,179.527591,S Falkow,0.670234,Olof Theander,0.15,Joseph H. Connell,1.649974652,Matthias Egger,94.4198195,Sean R. Eddy,0.44821825,Olof Theander,0.15
John M.C. Gutteridge,3.034095828,Raymond M. Wheeler,179.527591,Roger A. Nicoll,0.670047,Olsen Sf,0.15,Michael S. Gottlieb,1.649712277,George Davey Smith,94.4198195,Walton L. Fangman,0.4481035,Olsen Sf,0.15
W Jack,3.033661879,George M. Weinstock,179.527591,William G. Dunphy,0.6699195,Olsen B,0.15,Jonathan Butler,1.647829906,Martin Schneider,94.4198195,Kristleifur Kristjansson,0.4480695,Olsen B,0.15
Graham R. Bignell,3.0309847,Bruce A. Roe,179.527591,Lori Hutwagner,0.669894,Olsen,0.15,Edgardo Lander,1.64767076,Marie L. Landry,94.373401,Lisa Y S Chan,0.4480525,Olsen,0.15
A. Howie,3.027903354,Ewan Birney,179.527591,Claire V. Broome,0.669877,Olov Wiklund,0.15,Beverley Shields,1.645669185,James H. Jorgensen,94.373401,Richard C. Eastman,0.4479845,Olov Wiklund,0.15
Mike Rothe,3.027418634,William Saurin,179.527591,Robert A. Duce,0.6698005,Olov Sterner,0.15,Emily S. Winn-Deen,1.64483227,Ellen Jo Baron,94.373401,Philip E. Bernatz,0.447738,Olov Sterner,0.15
P. F. Scholander,3.024297831,Huanming Yang,179.527591,James L. Meek,0.66916725,Olov Rolandsson,0.15,L. Di Martino,1.644184542,Michael A. Pfaller,94.373401,F. Sanger,0.4476445,Olov Rolandsson,0.15
M. H. F. Wilkins,3.023326103,Nigel P. Carter,179.527591,Michael Goitein,0.668449,Olof Zachrisson,0.15,S. Cobbe,1.643223289,David P. Bartel,93.988504,Richard B. Simerly,0.4475765,Olof Zachrisson,0.15
Miriam J. Alter,3.022267997,Serafim Batzoglou,179.527591,Robert D. Terry,0.668347,Olof Wennerström,0.15,Robert J. Garrison,1.642327013,Patrick E. Shrout,93.5517825,Harvey T. McMahon,0.44724925,Olof Wennerström,0.15
Ewan Birney,3.013696389,Anne S. Olsen,179.527591,Amos Marc Bairoch,0.668296,Olof Sydow,0.15,Michele L. Pearson,1.641244315,Philip Holmes,93.496116,McBride Ow,0.447211,Olof Sydow,0.15
Federico Girosi,3.01339075,Jane Grimwood,179.527591,Wishwa N. Kapoor,0.668109,Olof Karis,0.15,Lawrence G. Hunsicker,1.640161444,S. Chandrasekhar,93.2788305,Sharon W. Weiss,0.4470325,Olof Karis,0.15
D. J. E. Ingram,3.013135473,Ian Dunham,179.527591,Hans Thoenen,0.6672335,Olof Stephansson,0.15,Charles T. Kresge,1.639305108,Paul Berg,93.1901925,Joel C. Kleinman,0.4469985,Olof Stephansson,0.15
Bates Dw,3.01265967,Simon G. Gregory,179.527591,Augustine Kong,0.66715275,Olof Solin,0.15,Therese Sørlie,1.638590441,Peter W. J. Rigby,93.1901925,North Wr,0.4467775,Olof Solin,0.15
Noriko Sakaguchi,3.011984283,Richard Durbin,179.527591,Mark S. Boguski,0.6655335,Olof Rådmark,0.15,John D. McPherson,1.6369739,Gregory W. Wornell,93.103552,P Marrack,0.44669675,Olof Rådmark,0.15
Benjamin A. Barnes,3.007042464,Todd M. Lowe,179.527591,Lauren V. Ackerman,0.665457,Olof Ramström,0.15,McGuire Wl,1.635133813,Janet M. Corrigan,92.7585795,Karen Hsiao,0.446582,Olof Ramström,0.15
J. F. A. P. Miller,3.006396112,Francis S. Collins,179.527591,David L. Donoho,0.6653805,Olof Olsson,0.15,Nicholas Kassebaum,1.634923621,Arthur W. Adamson,92.7052165,Linda K. McDougal,0.44573625,Olof Olsson,0.15
Mark Diekhans,3.00460025,Mark T. Ross,179.527591,Tony Kouzarides,0.66488325,Olof Nyrén,0.15,D. Williams Parsons,1.634616263,David L. Donoho,92.6780845,Christie Kovar,0.44558325,Olof Nyrén,0.15
Richard C. Graham,3.001430036,Michael L. Metzker,179.527591,Elizabeth A. Gilpin,0.664233,Olof Liberg,0.15,A. P. Alivisatos,1.633864538,Norman Arnheim,92.455835,Robert M. Kuhn,0.44555775,Olof Liberg,0.15
C Fox,2.99992898,Thomas A. Jones,179.527591,Marianne LeMeur,0.664097,Olof Larsson,0.15,Ken Dewar,1.632153217,F. C. Greenwood,91.9953985,Alex B. Novikoff,0.44548975,Olof Larsson,0.15
Audrey Duncanson,2.99928067,Yoshihide Hayashizaki,179.527591,David W. Rose,0.66407575,Olivier Schueller,0.15,P. Andrew Futreal,1.631318455,J. Glover,91.9953985,Cornelia I. Bargmann,0.4453155,Olivier Schueller,0.15
Thomas Tuschl,2.998183549,Richard M. Myers,179.527591,Fred Esch,0.663842,Olivier Schakman,0.15,R Peto,1.630003139,Russell Ross,91.9399615,Emre Kokmen,0.4450605,Olivier Schakman,0.15
Charmaine D. Royal,2.997052198,David Haussler,179.527591,Mark A. DePristo,0.6636805,Olivier Schaad,0.15,Jacob Cohen,1.629354711,Jeffrey Vieira,91.5597055,Beal Mf,0.4448565,Olivier Schaad,0.15
Michele L. Pearson,2.995934431,Eric S. Lander,179.527591,R. A. F. Dixon,0.66349775,Olivier H.J. Destrée,0.15,Laurence Kennedy,1.628674682,Joachim Messing,91.5597055,Eli Robins,0.444763,Olivier H.J. Destrée,0.15
Elisabeth Buchdunger,2.993924156,Mark Dickson,179.527591,John M. Edmond,0.6633405,Olivier Joffre,0.15,Alexander E. Urban,1.62838579,N. E. Day,91.4845995,Catherine Stehman-Breen,0.444202,Olivier Joffre,0.15
Sandra Silberman,2.992892833,Catherine Robert,179.527591,Jeffrey D. Palmer,0.66322575,Olivier Jeannin,0.15,Sam T. Roweis,1.6272767,Norman E. Breslow,91.4845995,Patricia W. Wahl,0.44409575,Olivier Jeannin,0.15
Hidemi Watanabe,2.992555479,Maynard V. Olson,179.527591,J R McIntosh,0.66238425,Olivier Jaillon,0.15,Dominic A. Scudiero,1.626776542,Philip E. Hartman,91.011957,C De Laet,0.444032,Olivier Jaillon,0.15
James E. Grizzle,2.992053405,Susan L. Naylor,179.527591,Hermes C. Grillo,0.66202725,Olivier J. Rouxel,0.15,Michael E. Greenberg,1.626090146,Geoffrey Wilkinson,90.886531,Tom Kadesch,0.443743,Olivier J. Rouxel,0.15
N. F. Mott,2.991271856,Trevor Hawkins,179.527591,David Tilman,0.66179775,Olivier Irion,0.15,Mary Jane Ferraro,1.625225355,Manfred Bochmann,90.886531,Thomas Y. Shih,0.4434285,Olivier Irion,0.15
Sidney C. Smith,2.990771439,Norman A. Doggett,179.527591,Rosemary Carpenter,0.661717,Olivier Humbert,0.15,Carol W. Greider,1.624595844,Mary Jane Ferraro,89.9310035,W. Dansgaard,0.44342,Olivier Humbert,0.15
Kazuto Kato,2.989126882,Elia Stupka,179.527591,Thomas E. Carew,0.661598,Olivier Huillard,0.15,Nahida H. Gordon,1.623614615,A. L. Hodgkin,89.5870085,R W Davis,0.443046,Olivier Huillard,0.15
Alfonse T. Masi,2.986493671,Alex Bateman,179.527591,Santos A. Susin,0.660901,Olivier Hugli,0.15,Nancy F. Hansen,1.621526769,A. F. Huxley,89.5870085,C. Conrad Johnston,0.44296525,Olivier Hugli,0.15
C. Katz,2.981891303,Michael C. Wendl,179.527591,L A Herzenberg,0.6607565,Olivier Huet,0.15,Andrew Menzies,1.620693173,Weiping Li,88.604451,Roman W. DeSanctis,0.44291,Olivier Huet,0.15
Freddie Bray,2.980178976,Jeffrey A. Bailey,179.527591,Margaret D. Carroll,0.660459,Olivier Honnay,0.15,David H. Gelfand,1.620097541,Ronald A. Laskey,88.145706,Noël P. Burtt,0.4428845,Olivier Honnay,0.15
Arne Tiselius,2.979770608,Henning Hermjakob,179.527591,Miriam J. Alter,0.66039525,Olivier Hernandez,0.15,Suzannah Bumpstead,1.618526017,William M. Bonner,88.145706,Gary Felsenfeld,0.442672,Olivier Hernandez,0.15
McGuire Wl,2.976469583,Eric Pelletier,179.527591,David C. Poskanzer,0.660374,Olivier Hermine,0.15,Simon Myers,1.616431714,Jean Endicott,87.9958595,Carol W. Greider,0.4425615,Olivier Hermine,0.15
Roland M. H. Schein,2.976436754,Peer Bork,179.527591,Masatoshi Nei,0.66018275,Olivier Herault,0.15,Catherine A. Lozupone,1.616134579,Eli Robins,87.9958595,Kevin J. Horgan,0.442366,Olivier Herault,0.15
Donna F. Stroup,2.971391143,Tobias Doerks,179.527591,Nelson Butters,0.6593455,Olivier Heinzlef,0.15,Yasushi Totoki,1.6160073,Robert L. Spitzer,87.9958595,R.A. Demel,0.4423065,Olivier Heinzlef,0.15
Erich Bluhmki,2.969184662,Richard Reinhardt,179.527591,Janet V. Passonneau,0.65934125,Olivier Hartmann,0.15,John R. Marler,1.615979828,Andrew Y. Ng,87.307606,George B. Hutchison,0.4420005,Olivier Hartmann,0.15
Emily Bernstein,2.968623493,Jean Weissenbach,179.527591,James R. Gnarra,0.6590565,Olivier Harismendy,0.15,Andrew Wakeham,1.615630504,Michael I. Jordan,87.307606,Robin Humphry-Baker,0.441907,Olivier Harismendy,0.15
