avg_PR,avg_PR_top_collabs,avg_PR_val,max_PR,max_PR_top_collabs,max_PR_val,median_PR,median_PR_top_collabs,median_PR_val,min_PR,min_PR_top_collabs,min_PR_val,num_pubs,num_pubs_top_collabs,num_pubs_val
Kimberly Chambert,"[""Mark J. Daly"",""Kristin Ardlie"",""Stacey Gabriel""]",1.5754191875,Kimberly Chambert,"[""Mark J. Daly"",""Kristin Ardlie"",""Stacey Gabriel""]",5.497970500000001,Bianca Calabria,"[""Alan D. Lopez"",""Marita Cross"",""Ali A. Mokdad"",""C. Arden Pope"",""Charles Atkinson"",""Gitanjali M. Singh"",""Mukesh Dherani"",""Paul McGale"",""Catherine Michaud"",""Nicholas Kassebaum""]",0.8001820000000001,Marina Marcet-Houben,"[""Lora Lewis"",""Kim C. Worley"",""Huyen Dinh"",""Christie Kovar""]",0.191038,Irene Jarchum,"[""Ralph M. Steinman""]",18
B. Arman Aksoy,"[""Daniel C. Koboldt"",""Lora Lewis"",""Jeffrey G. Reid"",""Gordon Saksena"",""Wendy Winckler"",""Boris Reva"",""Jane Peterson"",""Carrie Sougnez"",""Paul T. Spellman"",""Eric S. Lander"",""Robert S. Fulton"",""Andrew J. Mungall"",""David Haussler"",""Michael C. Wendl"",""Huyen Dinh"",""Elaine R. Mardis"",""David J. Dooling"",""Timothy Fennell"",""Kristian Cibulskis"",""Lucinda Fulton"",""Catrina Fronick"",""Kristin Ardlie"",""Heather Schmidt"",""Stacey Gabriel"",""Michael D. McLellan"",""Jill P. Mesirov"",""Christie Kovar"",""Erin Pleasance"",""Daphne W. Bell"",""Robert C. Onofrio"",""Aaron McKenna"",""Andrey Sivachenko"",""Mark S. Guyer""]",1.199101875,Jason S. Simon,"[""Mark J. Daly"",""Eric S. Lander""]",4.104761,Gene F. Kwan,"[""Thomas R. Fleming"",""Alan D. Lopez"",""C. Arden Pope"",""Charles Atkinson"",""Gitanjali M. Singh"",""Mukesh Dherani"",""Nicholas Kassebaum""]",0.7603850000000001,Sarah E. Bergen,"[""Mark J. Daly"",""Kiran Garimella"",""Chris C A Spencer"",""Nick Patterson""]",0.188573,Daniel J. Weisenberger,"[""Daniel C. Koboldt"",""Lora Lewis"",""Jeffrey G. Reid"",""Gordon Saksena"",""Wendy Winckler"",""Boris Reva"",""Jane Peterson"",""Carrie Sougnez"",""Paul T. Spellman"",""Eric S. Lander"",""Robert S. Fulton"",""Toby Bloom"",""Andrew J. Mungall"",""David Haussler"",""Michael C. Wendl"",""Huyen Dinh"",""Elaine R. Mardis"",""David J. Dooling"",""Timothy Fennell"",""Kristian Cibulskis"",""Jennifer Baldwin"",""Lucinda Fulton"",""Catrina Fronick"",""Kristin Ardlie"",""Heather Schmidt"",""Stacey Gabriel"",""Gavin Sherlock"",""Michael D. McLellan"",""Jill P. Mesirov"",""Jinghui Zhang"",""Craig H. Mermel"",""Christie Kovar"",""Erin Pleasance"",""Daphne W. Bell"",""Robert C. Onofrio"",""Aaron McKenna"",""Andrey Sivachenko"",""Mark S. Guyer""]",17
Jason S. Simon,"[""Mark J. Daly"",""Eric S. Lander""]",1.1391237500000002,Bjoern Chapuy,"[""Gordon Saksena"",""Carrie Sougnez"",""Eric S. Lander"",""Craig H. Mermel""]",3.7278285,Samantha M. Colquhoun,"[""Thomas R. Fleming"",""Alan D. Lopez"",""Marita Cross"",""Ali A. Mokdad"",""C. Arden Pope"",""Charles Atkinson"",""Gitanjali M. Singh"",""Mukesh Dherani"",""Catherine Michaud"",""Nicholas Kassebaum""]",0.720588,Kimberly Chambert,"[""Mark J. Daly"",""Kristin Ardlie"",""Stacey Gabriel""]",0.17672400000000002,Brian A Walker,"[""Sean Humphray"",""LaDeana W. Hillier"",""David R. Bentley"",""Mark T. Ross""]",17
Daniel J. Weisenberger,"[""Daniel C. Koboldt"",""Lora Lewis"",""Jeffrey G. Reid"",""Gordon Saksena"",""Wendy Winckler"",""Boris Reva"",""Jane Peterson"",""Carrie Sougnez"",""Paul T. Spellman"",""Eric S. Lander"",""Robert S. Fulton"",""Toby Bloom"",""Andrew J. Mungall"",""David Haussler"",""Michael C. Wendl"",""Huyen Dinh"",""Elaine R. Mardis"",""David J. Dooling"",""Timothy Fennell"",""Kristian Cibulskis"",""Jennifer Baldwin"",""Lucinda Fulton"",""Catrina Fronick"",""Kristin Ardlie"",""Heather Schmidt"",""Stacey Gabriel"",""Gavin Sherlock"",""Michael D. McLellan"",""Jill P. Mesirov"",""Jinghui Zhang"",""Craig H. Mermel"",""Christie Kovar"",""Erin Pleasance"",""Daphne W. Bell"",""Robert C. Onofrio"",""Aaron McKenna"",""Andrey Sivachenko"",""Mark S. Guyer""]",1.0914145,Daniel J. Weisenberger,"[""Daniel C. Koboldt"",""Lora Lewis"",""Jeffrey G. Reid"",""Gordon Saksena"",""Wendy Winckler"",""Boris Reva"",""Jane Peterson"",""Carrie Sougnez"",""Paul T. Spellman"",""Eric S. Lander"",""Robert S. Fulton"",""Toby Bloom"",""Andrew J. Mungall"",""David Haussler"",""Michael C. Wendl"",""Huyen Dinh"",""Elaine R. Mardis"",""David J. Dooling"",""Timothy Fennell"",""Kristian Cibulskis"",""Jennifer Baldwin"",""Lucinda Fulton"",""Catrina Fronick"",""Kristin Ardlie"",""Heather Schmidt"",""Stacey Gabriel"",""Gavin Sherlock"",""Michael D. McLellan"",""Jill P. Mesirov"",""Jinghui Zhang"",""Craig H. Mermel"",""Christie Kovar"",""Erin Pleasance"",""Daphne W. Bell"",""Robert C. Onofrio"",""Aaron McKenna"",""Andrey Sivachenko"",""Mark S. Guyer""]",3.3705905,Fiona J. Charlson,"[""Thomas R. Fleming"",""Alan D. Lopez"",""Marita Cross"",""Ali A. Mokdad"",""C. Arden Pope"",""Charles Atkinson"",""Gitanjali M. Singh"",""Mukesh Dherani"",""Paul McGale"",""Catherine Michaud"",""Nicholas Kassebaum""]",0.720588,Nabila Bouatia-Naji,"[""Beverley Shields"",""Rhian Gwilliam"",""Gonçalo R. Abecasis"",""Sarah Edkins"",""Katherine S. Elliott"",""Suzannah Bumpstead"",""Mark J. Daly"",""David Altshuler"",""Kristin Ardlie"",""Stacey Gabriel"",""Timo T. Valle""]",0.17523650000000002,Maria Romina Girotti,"[""Kenneth Macleod""]",17
Zamin Iqbal,"[""Daniel C. Koboldt"",""Lora Lewis"",""Zemin Ning"",""Stephen Frank Schaffner"",""Richard Durbin"",""Jeffrey G. Reid"",""Jeffrey C. Barrett"",""Charmaine D. Royal"",""Gilean McVean"",""David B. Jaffe"",""Jane Peterson"",""Alexej Abyzov"",""Carrie Sougnez"",""Gonçalo R. Abecasis"",""Adam Frankish"",""Felsenfeld Al"",""Mark J. Daly"",""Michael L. Metzker"",""David Altshuler"",""Eric S. Lander"",""Hoda Khouri"",""Deanna M. Church"",""Robert S. Fulton"",""Stephen T. Sherry"",""Toby Bloom"",""David Haussler"",""Alexander E. Urban"",""Sean Humphray"",""Michael C. Wendl"",""Huyen Dinh"",""Carol Churcher"",""Elaine R. Mardis"",""Richa Agarwala"",""Mark A. DePristo"",""Audrey Duncanson"",""David J. Dooling"",""Timothy Fennell"",""Zhengdong D. Zhang"",""Kristian Cibulskis"",""Adam Auton"",""Lucinda Fulton"",""Jonathan Marchini"",""Alastair Kent"",""Stacey Gabriel"",""Michael D. McLellan"",""Jonathan Sebat"",""Robert M. Kuhn"",""Kiran Garimella"",""Anthony J. Cox"",""David R. Bentley"",""Fuli Yu"",""Christie Kovar"",""Aaron McKenna"",""Gabor T. Marth"",""W. James Kent"",""Simon Myers"",""Harold Swerdlow"",""Mark S. Guyer""]",1.0079985,Daniel Carlin,"[""Daniel C. Koboldt"",""Lora Lewis"",""Jeffrey G. Reid"",""Gordon Saksena"",""Wendy Winckler"",""Boris Reva"",""Carrie Sougnez"",""Paul T. Spellman"",""Eric S. Lander"",""Robert S. Fulton"",""Andrew J. Mungall"",""David Haussler"",""Michael C. Wendl"",""Huyen Dinh"",""Elaine R. Mardis"",""David J. Dooling"",""Kristian Cibulskis"",""Catrina Fronick"",""Kristin Ardlie"",""Heather Schmidt"",""Stacey Gabriel"",""Michael D. McLellan"",""Jill P. Mesirov"",""Christie Kovar"",""Erin Pleasance"",""Robert C. Onofrio"",""Andrey Sivachenko"",""Mark S. Guyer""]",3.3705905,Sajjad Ur Rahman,"[""Thomas R. Fleming"",""Alan D. Lopez"",""C. Arden Pope"",""Charles Atkinson"",""Gitanjali M. Singh"",""Mukesh Dherani"",""Nicholas Kassebaum""]",0.6924615,Norman Pellet,"[""Robin Humphry-Baker""]",0.17493050000000002,Loic Yengo,"[""Wendy Winckler"",""Gonçalo R. Abecasis"",""Sarah Edkins"",""David Altshuler"",""Sarah Hunt""]",17
Travis I. Zack,"[""Daniel C. Koboldt"",""Lora Lewis"",""Jeffrey G. Reid"",""Gordon Saksena"",""Wendy Winckler"",""Boris Reva"",""Carrie Sougnez"",""Paul T. Spellman"",""Eric S. Lander"",""Robert S. Fulton"",""Andrew J. Mungall"",""David Haussler"",""Michael C. Wendl"",""Huyen Dinh"",""Elaine R. Mardis"",""David J. Dooling"",""Kristian Cibulskis"",""Catrina Fronick"",""Heather Schmidt"",""Stacey Gabriel"",""Michael D. McLellan"",""Jill P. Mesirov"",""Craig H. Mermel"",""Christie Kovar"",""Robert C. Onofrio"",""Aaron McKenna""]",0.9790232142857144,Rileen Sinha,"[""Daniel C. Koboldt"",""Lora Lewis"",""Jeffrey G. Reid"",""Gordon Saksena"",""Wendy Winckler"",""Boris Reva"",""Jane Peterson"",""Carrie Sougnez"",""Paul T. Spellman"",""Eric S. Lander"",""Robert S. Fulton"",""Andrew J. Mungall"",""David Haussler"",""Michael C. Wendl"",""Huyen Dinh"",""Elaine R. Mardis"",""David J. Dooling"",""Kristian Cibulskis"",""Lucinda Fulton"",""Catrina Fronick"",""Kristin Ardlie"",""Heather Schmidt"",""Stacey Gabriel"",""Michael D. McLellan"",""Jill P. Mesirov"",""Christie Kovar"",""Erin Pleasance"",""Daphne W. Bell"",""Robert C. Onofrio"",""Aaron McKenna"",""Andrey Sivachenko"",""Mark S. Guyer""]",3.3705905,Hebe N. Gouda,"[""Thomas R. Fleming"",""Alan D. Lopez"",""C. Arden Pope"",""Charles Atkinson"",""Gitanjali M. Singh"",""Mukesh Dherani"",""Nicholas Kassebaum""]",0.6924615,Karol Estrada,"[""Rhian Gwilliam"",""Gonçalo R. Abecasis"",""Sarah Edkins"",""Suzannah Bumpstead"",""David Altshuler"",""Kristin Ardlie"",""Timo T. Valle"",""Sarah Hunt""]",0.17345150000000004,Tanja A. Gruber,"[""Elaine R. Mardis"",""Jinghui Zhang""]",17
Daniel Carlin,"[""Daniel C. Koboldt"",""Lora Lewis"",""Jeffrey G. Reid"",""Gordon Saksena"",""Wendy Winckler"",""Boris Reva"",""Carrie Sougnez"",""Paul T. Spellman"",""Eric S. Lander"",""Robert S. Fulton"",""Andrew J. Mungall"",""David Haussler"",""Michael C. Wendl"",""Huyen Dinh"",""Elaine R. Mardis"",""David J. Dooling"",""Kristian Cibulskis"",""Catrina Fronick"",""Kristin Ardlie"",""Heather Schmidt"",""Stacey Gabriel"",""Michael D. McLellan"",""Jill P. Mesirov"",""Christie Kovar"",""Erin Pleasance"",""Robert C. Onofrio"",""Andrey Sivachenko"",""Mark S. Guyer""]",0.9535843333333331,Peter H. Sudmant,"[""Daniel C. Koboldt"",""Lora Lewis"",""Zemin Ning"",""Stephen Frank Schaffner"",""Richard Durbin"",""Jeffrey G. Reid"",""Jeffrey C. Barrett"",""Charmaine D. Royal"",""David B. Jaffe"",""Jane Peterson"",""Alexej Abyzov"",""Carrie Sougnez"",""Gonçalo R. Abecasis"",""Adam Frankish"",""Felsenfeld Al"",""Mark J. Daly"",""Michael L. Metzker"",""David Altshuler"",""Eric S. Lander"",""Hoda Khouri"",""Deanna M. Church"",""Robert S. Fulton"",""Stephen T. Sherry"",""Toby Bloom"",""David Haussler"",""Alexander E. Urban"",""Sean Humphray"",""Michael C. Wendl"",""Huyen Dinh"",""Carol Churcher"",""Elaine R. Mardis"",""Richa Agarwala"",""Mark A. DePristo"",""Audrey Duncanson"",""James C. Mullikin"",""David J. Dooling"",""Timothy Fennell"",""Zhengdong D. Zhang"",""Kristian Cibulskis"",""Adam Auton"",""Lucinda Fulton"",""Jonathan Marchini"",""Alastair Kent"",""Stacey Gabriel"",""Michael D. McLellan"",""Tina Graves"",""Jonathan Sebat"",""Robert M. Kuhn"",""Kiran Garimella"",""Anthony J. Cox"",""David R. Bentley"",""Fuli Yu"",""Christie Kovar"",""Nick Patterson"",""Aaron McKenna"",""Gabor T. Marth"",""W. James Kent"",""Simon Myers"",""Harold Swerdlow"",""Mark S. Guyer""]",3.3099005,John N. Newton,"[""Alan D. Lopez"",""Charles Atkinson"",""Mukesh Dherani""]",0.6779605,Florian Heitz,"[""Julian Peto"",""Paul T. Spellman""]",0.17295850000000002,Niek Verweij,"[""Gonçalo R. Abecasis"",""Sarah Edkins"",""Nick Goldman""]",17
Manuel A. Rivas,"[""Daniel C. Koboldt"",""Stephen Frank Schaffner"",""Richard Durbin"",""Jeffrey G. Reid"",""Jeffrey C. Barrett"",""David B. Jaffe"",""Jane Peterson"",""Alexej Abyzov"",""Carrie Sougnez"",""Gonçalo R. Abecasis"",""Felsenfeld Al"",""Mark J. Daly"",""Michael L. Metzker"",""David Altshuler"",""Eric S. Lander"",""Hoda Khouri"",""Robert S. Fulton"",""Stephen T. Sherry"",""Toby Bloom"",""David Haussler"",""Alexander E. Urban"",""Sean Humphray"",""Michael C. Wendl"",""Huyen Dinh"",""Carol Churcher"",""Elaine R. Mardis"",""Richa Agarwala"",""Mark A. DePristo"",""Audrey Duncanson"",""David J. Dooling"",""Timothy Fennell"",""Zhengdong D. Zhang"",""Kristian Cibulskis"",""Adam Auton"",""Lucinda Fulton"",""Jonathan Marchini"",""Alastair Kent"",""Sheila Seal"",""Stacey Gabriel"",""Michael D. McLellan"",""Jonathan Sebat"",""Robert M. Kuhn"",""Kiran Garimella"",""Anthony J. Cox"",""David R. Bentley"",""Fuli Yu"",""Christie Kovar"",""Aaron McKenna"",""Gabor T. Marth"",""Simon Myers"",""Andrey Sivachenko"",""Harold Swerdlow"",""Mark S. Guyer""]",0.9118465,Zamin Iqbal,"[""Daniel C. Koboldt"",""Lora Lewis"",""Zemin Ning"",""Stephen Frank Schaffner"",""Richard Durbin"",""Jeffrey G. Reid"",""Jeffrey C. Barrett"",""Charmaine D. Royal"",""Gilean McVean"",""David B. Jaffe"",""Jane Peterson"",""Alexej Abyzov"",""Carrie Sougnez"",""Gonçalo R. Abecasis"",""Adam Frankish"",""Felsenfeld Al"",""Mark J. Daly"",""Michael L. Metzker"",""David Altshuler"",""Eric S. Lander"",""Hoda Khouri"",""Deanna M. Church"",""Robert S. Fulton"",""Stephen T. Sherry"",""Toby Bloom"",""David Haussler"",""Alexander E. Urban"",""Sean Humphray"",""Michael C. Wendl"",""Huyen Dinh"",""Carol Churcher"",""Elaine R. Mardis"",""Richa Agarwala"",""Mark A. DePristo"",""Audrey Duncanson"",""David J. Dooling"",""Timothy Fennell"",""Zhengdong D. Zhang"",""Kristian Cibulskis"",""Adam Auton"",""Lucinda Fulton"",""Jonathan Marchini"",""Alastair Kent"",""Stacey Gabriel"",""Michael D. McLellan"",""Jonathan Sebat"",""Robert M. Kuhn"",""Kiran Garimella"",""Anthony J. Cox"",""David R. Bentley"",""Fuli Yu"",""Christie Kovar"",""Aaron McKenna"",""Gabor T. Marth"",""W. James Kent"",""Simon Myers"",""Harold Swerdlow"",""Mark S. Guyer""]",3.3099005,Semaw Ferede Abera,"[""Alan D. Lopez"",""Gitanjali M. Singh"",""Mukesh Dherani"",""Nicholas Kassebaum""]",0.6643349999999999,Yasmeen Rahimi,"[""Stacey Gabriel""]",0.17125,Ryan D. Morin,"[""Andrew J. Mungall"",""Jinghui Zhang"",""Erin Pleasance""]",17
Eli A. Stahl,"[""Sarah Edkins"",""Mark J. Daly"",""David Altshuler"",""Barbara E. Stranger"",""Kristin Ardlie"",""Sarah Hunt""]",0.907435,Jared T. Simpson,"[""Zemin Ning"",""Richard Durbin"",""Andreas Heger"",""Sarah Edkins"",""Nick Goldman"",""Carol Churcher"",""Jane Rogers"",""James C. Mullikin"",""Stephen M. J. Searle"",""LaDeana W. Hillier"",""Tina Graves"",""P. Andrew Futreal"",""Erin Pleasance"",""Jon Teague"",""Harold Swerdlow""]",3.3099005,Tom Achoki,"[""Thomas R. Fleming"",""Alan D. Lopez"",""C. Arden Pope"",""Charles Atkinson"",""Gitanjali M. Singh"",""Mukesh Dherani"",""Nicholas Kassebaum""]",0.6643349999999999,Gordon Saksena,"[""Daniel C. Koboldt"",""Lora Lewis"",""Jeffrey G. Reid"",""Wendy Winckler"",""Boris Reva"",""Jane Peterson"",""Carrie Sougnez"",""Paul T. Spellman"",""Eric S. Lander"",""Robert S. Fulton"",""Toby Bloom"",""Andrew J. Mungall"",""David Haussler"",""Michael C. Wendl"",""Huyen Dinh"",""Elaine R. Mardis"",""Pablo Tamayo"",""David J. Dooling"",""Timothy Fennell"",""Kristian Cibulskis"",""Jennifer Baldwin"",""Lucinda Fulton"",""Catrina Fronick"",""Kristin Ardlie"",""Heather Schmidt"",""Stacey Gabriel"",""Gavin Sherlock"",""Michael D. McLellan"",""Jill P. Mesirov"",""Jinghui Zhang"",""Craig H. Mermel"",""Christie Kovar"",""Erin Pleasance"",""Daphne W. Bell"",""Robert C. Onofrio"",""Aaron McKenna"",""Andrey Sivachenko"",""Mark S. Guyer""]",0.17045100000000002,M. Gordon Joyce,"[""James C. Mullikin"",""Andrew Fire""]",16
Karol Estrada,"[""Rhian Gwilliam"",""Gonçalo R. Abecasis"",""Sarah Edkins"",""Suzannah Bumpstead"",""David Altshuler"",""Kristin Ardlie"",""Timo T. Valle"",""Sarah Hunt""]",0.8326017083333331,Travis I. Zack,"[""Daniel C. Koboldt"",""Lora Lewis"",""Jeffrey G. Reid"",""Gordon Saksena"",""Wendy Winckler"",""Boris Reva"",""Carrie Sougnez"",""Paul T. Spellman"",""Eric S. Lander"",""Robert S. Fulton"",""Andrew J. Mungall"",""David Haussler"",""Michael C. Wendl"",""Huyen Dinh"",""Elaine R. Mardis"",""David J. Dooling"",""Kristian Cibulskis"",""Catrina Fronick"",""Heather Schmidt"",""Stacey Gabriel"",""Michael D. McLellan"",""Jill P. Mesirov"",""Craig H. Mermel"",""Christie Kovar"",""Robert C. Onofrio"",""Aaron McKenna""]",3.161159,Sergey Soshnikov,"[""Alan D. Lopez"",""Mukesh Dherani"",""Nicholas Kassebaum""]",0.6643349999999999,Mei Jie Zhang,"[""Cladd E. Stevens""]",0.16981350000000006,Sachet A. Shukla,"[""Daniel C. Koboldt"",""Lora Lewis"",""Jeffrey G. Reid"",""Gordon Saksena"",""Wendy Winckler"",""Boris Reva"",""Jane Peterson"",""Carrie Sougnez"",""Paul T. Spellman"",""Eric S. Lander"",""Robert S. Fulton"",""Andrew J. Mungall"",""David Haussler"",""Huyen Dinh"",""Elaine R. Mardis"",""David J. Dooling"",""Kristian Cibulskis"",""Lucinda Fulton"",""Catrina Fronick"",""Kristin Ardlie"",""Stacey Gabriel"",""Jill P. Mesirov"",""Christie Kovar"",""Erin Pleasance"",""Robert C. Onofrio"",""Aaron McKenna"",""Andrey Sivachenko"",""Mark S. Guyer""]",16
Norman Pellet,"[""Robin Humphry-Baker""]",0.8291466000000001,Manuel A. Rivas,"[""Daniel C. Koboldt"",""Stephen Frank Schaffner"",""Richard Durbin"",""Jeffrey G. Reid"",""Jeffrey C. Barrett"",""David B. Jaffe"",""Jane Peterson"",""Alexej Abyzov"",""Carrie Sougnez"",""Gonçalo R. Abecasis"",""Felsenfeld Al"",""Mark J. Daly"",""Michael L. Metzker"",""David Altshuler"",""Eric S. Lander"",""Hoda Khouri"",""Robert S. Fulton"",""Stephen T. Sherry"",""Toby Bloom"",""David Haussler"",""Alexander E. Urban"",""Sean Humphray"",""Michael C. Wendl"",""Huyen Dinh"",""Carol Churcher"",""Elaine R. Mardis"",""Richa Agarwala"",""Mark A. DePristo"",""Audrey Duncanson"",""David J. Dooling"",""Timothy Fennell"",""Zhengdong D. Zhang"",""Kristian Cibulskis"",""Adam Auton"",""Lucinda Fulton"",""Jonathan Marchini"",""Alastair Kent"",""Sheila Seal"",""Stacey Gabriel"",""Michael D. McLellan"",""Jonathan Sebat"",""Robert M. Kuhn"",""Kiran Garimella"",""Anthony J. Cox"",""David R. Bentley"",""Fuli Yu"",""Christie Kovar"",""Aaron McKenna"",""Gabor T. Marth"",""Simon Myers"",""Andrey Sivachenko"",""Harold Swerdlow"",""Mark S. Guyer""]",2.7154614999999995,Caitlyn Steiner,"[""Alan D. Lopez"",""Nicholas Kassebaum""]",0.6418695000000001,Chengzu Long,"[""Gregory J. Hannon""]",0.1696945,Nir Yosef,"[""Aravind Subramanian""]",16
Jared T. Simpson,"[""Zemin Ning"",""Richard Durbin"",""Andreas Heger"",""Sarah Edkins"",""Nick Goldman"",""Carol Churcher"",""Jane Rogers"",""James C. Mullikin"",""Stephen M. J. Searle"",""LaDeana W. Hillier"",""Tina Graves"",""P. Andrew Futreal"",""Erin Pleasance"",""Jon Teague"",""Harold Swerdlow""]",0.8125762142857142,Karol Estrada,"[""Rhian Gwilliam"",""Gonçalo R. Abecasis"",""Sarah Edkins"",""Suzannah Bumpstead"",""David Altshuler"",""Kristin Ardlie"",""Timo T. Valle"",""Sarah Hunt""]",2.7154614999999995,Jung Chen Chang,"[""Thomas R. Fleming"",""Alan D. Lopez"",""C. Arden Pope"",""Charles Atkinson"",""Gitanjali M. Singh"",""Mukesh Dherani"",""Nicholas Kassebaum""]",0.6137429999999999,Harm Jan Westra,"[""Jeffrey C. Barrett"",""Suzannah Bumpstead"",""Mark J. Daly"",""Barbara E. Stranger""]",0.16957550000000002,Michael J. Ziller,"[""Gordon Saksena"",""Carrie Sougnez"",""Cole Trapnell"",""Eric S. Lander"",""Stacey Gabriel""]",16
Bianca Calabria,"[""Alan D. Lopez"",""Marita Cross"",""Ali A. Mokdad"",""C. Arden Pope"",""Charles Atkinson"",""Gitanjali M. Singh"",""Mukesh Dherani"",""Paul McGale"",""Catherine Michaud"",""Nicholas Kassebaum""]",0.7796936000000001,Josh Stuart,"[""Boris Reva"",""David Haussler"",""Robert Baertsch""]",2.6918485,Justin Beardsley,"[""Thomas R. Fleming"",""Alan D. Lopez"",""C. Arden Pope"",""Charles Atkinson"",""Gitanjali M. Singh"",""Mukesh Dherani"",""Nicholas Kassebaum""]",0.6137429999999999,Jean-Marc Aury,"[""Bruce W. Birren"",""David B. Jaffe"",""Evan Mauceli"",""Eric S. Lander"",""William Saurin"",""Chad Nusbaum"",""François Artiguenave"",""Michael C. Zody"",""Kevin McKernan"",""Jill P. Mesirov""]",0.16887850000000004,Sarah Nikiforow,"[""Ralph M. Steinman""]",16
Gene F. Kwan,"[""Thomas R. Fleming"",""Alan D. Lopez"",""C. Arden Pope"",""Charles Atkinson"",""Gitanjali M. Singh"",""Mukesh Dherani"",""Nicholas Kassebaum""]",0.7436031666666668,Michael J. Ziller,"[""Gordon Saksena"",""Carrie Sougnez"",""Cole Trapnell"",""Eric S. Lander"",""Stacey Gabriel""]",2.551267,Christina Fitzmaurice,"[""Thomas R. Fleming"",""Alan D. Lopez"",""Charles Atkinson"",""Mukesh Dherani"",""Nicholas Kassebaum""]",0.59607575,Ademola Lukman Adelekan,"[""Thomas R. Fleming"",""Alan D. Lopez"",""C. Arden Pope"",""Charles Atkinson"",""Gitanjali M. Singh"",""Mukesh Dherani"",""Nicholas Kassebaum""]",0.16820700000000002,Nicholas McGranahan,"[""P. Andrew Futreal""]",15
Tom Achoki,"[""Thomas R. Fleming"",""Alan D. Lopez"",""C. Arden Pope"",""Charles Atkinson"",""Gitanjali M. Singh"",""Mukesh Dherani"",""Nicholas Kassebaum""]",0.7306146,Norman Pellet,"[""Robin Humphry-Baker""]",2.4776740000000004,Daniel J. Weisenberger,"[""Daniel C. Koboldt"",""Lora Lewis"",""Jeffrey G. Reid"",""Gordon Saksena"",""Wendy Winckler"",""Boris Reva"",""Jane Peterson"",""Carrie Sougnez"",""Paul T. Spellman"",""Eric S. Lander"",""Robert S. Fulton"",""Toby Bloom"",""Andrew J. Mungall"",""David Haussler"",""Michael C. Wendl"",""Huyen Dinh"",""Elaine R. Mardis"",""David J. Dooling"",""Timothy Fennell"",""Kristian Cibulskis"",""Jennifer Baldwin"",""Lucinda Fulton"",""Catrina Fronick"",""Kristin Ardlie"",""Heather Schmidt"",""Stacey Gabriel"",""Gavin Sherlock"",""Michael D. McLellan"",""Jill P. Mesirov"",""Jinghui Zhang"",""Craig H. Mermel"",""Christie Kovar"",""Erin Pleasance"",""Daphne W. Bell"",""Robert C. Onofrio"",""Aaron McKenna"",""Andrey Sivachenko"",""Mark S. Guyer""]",0.566704,Jean Hausser,"[""Thomas Tuschl""]",0.16669400000000004,Rahul Satija,"[""Lora Lewis"",""Gerald R. Fink"",""Kim C. Worley"",""Carrie Sougnez"",""Gary Ruvkun"",""Eric S. Lander"",""Huyen Dinh"",""Timothy Fennell"",""Kristian Cibulskis"",""Tarjei S. Mikkelsen"",""Christie Kovar"",""Erica Sodergren"",""Andrey Sivachenko""]",15
Peter H. Sudmant,"[""Daniel C. Koboldt"",""Lora Lewis"",""Zemin Ning"",""Stephen Frank Schaffner"",""Richard Durbin"",""Jeffrey G. Reid"",""Jeffrey C. Barrett"",""Charmaine D. Royal"",""David B. Jaffe"",""Jane Peterson"",""Alexej Abyzov"",""Carrie Sougnez"",""Gonçalo R. Abecasis"",""Adam Frankish"",""Felsenfeld Al"",""Mark J. Daly"",""Michael L. Metzker"",""David Altshuler"",""Eric S. Lander"",""Hoda Khouri"",""Deanna M. Church"",""Robert S. Fulton"",""Stephen T. Sherry"",""Toby Bloom"",""David Haussler"",""Alexander E. Urban"",""Sean Humphray"",""Michael C. Wendl"",""Huyen Dinh"",""Carol Churcher"",""Elaine R. Mardis"",""Richa Agarwala"",""Mark A. DePristo"",""Audrey Duncanson"",""James C. Mullikin"",""David J. Dooling"",""Timothy Fennell"",""Zhengdong D. Zhang"",""Kristian Cibulskis"",""Adam Auton"",""Lucinda Fulton"",""Jonathan Marchini"",""Alastair Kent"",""Stacey Gabriel"",""Michael D. McLellan"",""Tina Graves"",""Jonathan Sebat"",""Robert M. Kuhn"",""Kiran Garimella"",""Anthony J. Cox"",""David R. Bentley"",""Fuli Yu"",""Christie Kovar"",""Nick Patterson"",""Aaron McKenna"",""Gabor T. Marth"",""W. James Kent"",""Simon Myers"",""Harold Swerdlow"",""Mark S. Guyer""]",0.7306001499999999,Omri Gottesman,"[""Michael J. Thun""]",2.0617349999999997,Katherine B. Gibney,"[""Thomas R. Fleming"",""Alan D. Lopez"",""C. Arden Pope"",""Charles Atkinson"",""Gitanjali M. Singh"",""Mukesh Dherani"",""Nicholas Kassebaum""]",0.5315225,Brett D. Mensh,"[""David W. Tank""]",0.16619250000000002,Travis I. Zack,"[""Daniel C. Koboldt"",""Lora Lewis"",""Jeffrey G. Reid"",""Gordon Saksena"",""Wendy Winckler"",""Boris Reva"",""Carrie Sougnez"",""Paul T. Spellman"",""Eric S. Lander"",""Robert S. Fulton"",""Andrew J. Mungall"",""David Haussler"",""Michael C. Wendl"",""Huyen Dinh"",""Elaine R. Mardis"",""David J. Dooling"",""Kristian Cibulskis"",""Catrina Fronick"",""Heather Schmidt"",""Stacey Gabriel"",""Michael D. McLellan"",""Jill P. Mesirov"",""Craig H. Mermel"",""Christie Kovar"",""Robert C. Onofrio"",""Aaron McKenna""]",14
