unique_coauthor_profs_lin_damp,,,,,,,unique_coauthor_profs_sqrt_damp,,,,,,,avg_PR,,,,,,,avg_disrupt,,,
James S. Blachly,,,,,,,Siraj M. Ali,174.4663427,,,,,,Manuel A. Rivas,,,,,,,Abera Kenay Tura,,,
Raphael Itzykson,,,,,,,Karen M. Tabb,173.6493866,,,,,,Eli A. Stahl,,,,,,,Fiona J. Charlson,,,
Despina Moshous,,,,,,,Daniel C. Casey,172.9993415,,,,,,Silvana Konermann,,,,,,,Joseph Frostad,,,
Randy A. Albrecht,,,,,,,Saeid Shahraz,172.9752429,,,,,,Joseph Frostad,,,,,,,Holly E. Erskine,,,
Loretta J. Nastoupil,,,,,,,Peter Van Loo,172.8720234,,,,,,Gytis Dudas,,,,,,,Justin Beardsley,,,
Jimmy Z. Liu,,,,,,,Alexander W. Drong,170.1070045,,,,,,Karol Estrada,,,,,,,Dietrich Plass,,,
Yan W. Asmann,,,,,,,Gabriela Surdulescu,170.0187877,,,,,,Daniel C. Casey,,,,,,,Ranu S Dhillon,,,
Rahul Satija,,,,,,,Taavi Tillmann,169.3473328,,,,,,Jared T. Simpson,,,,,,,Arnav Agarwal,,,
Nir Yosef,,,,,,,Anne E. Justice,169.2295439,,,,,,Armand Sprecher,,,,,,,Taavi Tillmann,,,
Elizabeth A. Morgan,,,,,,,Amany H. Refaat,168.6537885,,,,,,Adeladza Kofi Amegah,,,,,,,John N. Newton,,,
Tanja A. Gruber,,,,,,,Manuel A. Rivas,166.0052273,,,,,,Aung Soe Htet,,,,,,,Ritul Kamal,,,
Michael J. Ziller,,,,,,,Ben Sch̦ttker,164.8845737,,,,,,Ahmad Halwani,,,,,,,Saeid Shahraz,,,
Shakti Ramkissoon,,,,,,,Tariku Jibat Beyene,162.318969,,,,,,Bernd Zetsche,,,,,,,Samer Hamidi,,,
Nicolai Juul Birkbak,,,,,,,Dragana Vuckovic,159.8211929,,,,,,Melissa Gymrek,,,,,,,Semaw Ferede Abera,,,
Sameer A. Parikh,,,,,,,Joseph Frostad,158.9702395,,,,,,Gene F. Kwan,,,,,,,Daniel C. Casey,,,
Peter H. Sudmant,,,,,,,Sergey Soshnikov,157.9560453,,,,,,Preet K. Dhillon,,,,,,,Zoubida Zaidi,,,
Benjamin H. Durham,,,,,,,Holly E. Erskine,157.7871312,,,,,,Peter H. Sudmant,,,,,,,Amany H. Refaat,,,
Peter K. Joshi,,,,,,,Zoubida Zaidi,157.4597202,,,,,,Tenghui Chen,,,,,,,Neeraj Bedi,,,
David A. Barbie,,,,,,,Dietrich Plass,156.1315947,,,,,,Samantha M. Colquhoun,,,,,,,Kari Debbink,,,
Gavin Ha,,,,,,,Rileen Sinha,155.2042635,,,,,,Saleh Fahed Aldhahri,,,,,,,Foad Abd-Allah,,,
Todd M. Bauer,,,,,,,Chante Karimkhani,153.7423736,,,,,,Sajjad Ur Rahman,,,,,,,Yves-Alexandre de Montjoye,,,
Janine F. Felix,,,,,,,Aleksandra Gentry-Maharaj,153.4711228,,,,,,Catherine O. Johnson,,,,,,,Andr̩ Karch,,,
Richard Bourgon,,,,,,,Emilie E. Agardh,153.2676071,,,,,,Dirk Heckl,,,,,,,Kingsley N. Ukwaja,,,
A. Kate Sasser,,,,,,,Harm Jan Westra,152.9227894,,,,,,Demewoz Haile,,,,,,,Itamar S. Santos,,,
Eli A. Stahl,,,,,,,Kelly Cercy,152.6322823,,,,,,Janni Leung,,,,,,,Carl Abelardo T Antonio,,,
Antonietta Robino,,,,,,,Alicia V. Aleman,151.6543353,,,,,,Muhammad Muhammad Saleh,,,,,,,Alexandra A. Mushegian,,,
Jouke-Jan Hottenga,,,,,,,Arnav Agarwal,150.4602479,,,,,,Hebe N. Gouda,,,,,,,Magnus Pfaffenbach,,,
Kyriaki Michailidou,,,,,,,Samer Hamidi,150.1004863,,,,,,Lucia A. Hindorff,,,,,,,Daniel H. Chitwood,,,
Peter Willeit,,,,,,,Jacqueline C. Barrientos,149.9932698,,,,,,Kossivi Agbelenko Afanvi,,,,,,,Nikolaus Wenger,,,
Jonathon B. Cohen,,,,,,,Katherine S. Ruth,149.8222358,,,,,,Alexander W. Drong,,,,,,,David Michonneau,,,
Jared T. Simpson,,,,,,,Ritul Kamal,149.8121866,,,,,,Justin Beardsley,,,,,,,Wendy Bamberg,,,
Gwo-Yu Chuang,,,,,,,Samia Alhabib,149.8082717,,,,,,Fiona J. Charlson,,,,,,,Ann Marie Navar,,,
