last_author_yr,last_author_yr_top_collabs,last_author_yr_val,unique_coauthor_profs,unique_coauthor_profs_exp_damp,unique_coauthor_profs_exp_damp_top_collabs,unique_coauthor_profs_exp_damp_val,unique_coauthor_profs_lin_damp,unique_coauthor_profs_lin_damp_top_collabs,unique_coauthor_profs_lin_damp_val,unique_coauthor_profs_sqrt_damp,unique_coauthor_profs_sqrt_damp_top_collabs,unique_coauthor_profs_sqrt_damp_val,unique_coauthor_profs_square_damp,unique_coauthor_profs_square_damp_top_collabs,unique_coauthor_profs_square_damp_val,unique_coauthor_profs_top_collabs,unique_coauthor_profs_val
Zhuzhu Zhang,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",2014,Mara Rosenberg,Svitlana Tyekucheva,"[""Josep F. Abril"",""Terrence S. Furey"",""Arian Smit"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",0.0013575744712363545,Jeffery M. Klco,"[""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton""]",22.555916223873805,Felix Schlesinger,"[""Terrence S. Furey"",""LaDeana W. Hillier"",""Webb Miller"",""W. James Kent""]",49.05417679711435,Preti Jain,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",6.120872062939216,"[""Michael C. Wendl"",""Timothy Fennell"",""Robert C. Onofrio""]",104
Jingyi Jessica Li,"[""Michael B. Eisen"",""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",2014,Jingyi Jessica Li,T. Daniel Andrews,"[""Steven E. Scherer"",""Alan Coulson"",""LaDeana W. Hillier"",""David R. Bentley"",""Mark T. Ross""]",0.0012870697910483974,Karsten Hokamp,"[""Steven E. Scherer"",""Tobias Doerks"",""Aravind Subramanian"",""Jane Peterson"",""Ian Korf"",""Todd M. Lowe"",""Felsenfeld Al"",""Deanna M. Church"",""Terrence S. Furey"",""Michael C. Wendl"",""Arian Smit"",""Alan Coulson"",""Michael C. Zody"",""Sean R. Eddy"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Kevin McKernan"",""David R. Bentley"",""Mark T. Ross"",""W. James Kent"",""Mark S. Guyer""]",22.448767706479586,Brian A Walker,"[""LaDeana W. Hillier"",""David R. Bentley"",""Mark T. Ross""]",45.243245123738575,Francesca Antonacci,"[""Michael C. Zody"",""LaDeana W. Hillier"",""Kevin McKernan""]",6.044559196165987,"[""Michael B. Eisen"",""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",86
David J. Witherspoon,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",2014,Nathan Boley,Sachet A. Shukla,"[""Jane Peterson"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",0.0008848328867878254,Qunyuan Zhang,"[""Steven E. Scherer"",""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Michael C. Zody"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""Robert C. Onofrio"",""W. James Kent"",""Mark S. Guyer""]",19.425035196657536,Yotam Drier,"[""Timothy Fennell"",""Robert C. Onofrio""]",43.02118183835999,Jean-Philippe Theurillat,"[""Timothy Fennell"",""Robert C. Onofrio""]",5.429332450806074,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",83
Peter H. Sudmant,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",2014,Timothy E. Reddy,Mark Cadungog,"[""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",0.0008244298084026256,Gane Ka Shu Wong,"[""Josep F. Abril"",""Terrence S. Furey"",""Arian Smit"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",18.799700450485147,Lukas D. Wartman,"[""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton""]",41.226898589440495,Sarah M. McWhirter,"[""Tom Maniatis""]",5.349377271239913,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",78
Efsevia Vakiani,"[""Jane Peterson"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",2014,Brian A Walker,Sarah M. McWhirter,"[""Tom Maniatis""]",0.0002761835913619184,Petar Stojanov,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",18.75765907864793,Vincent Magrini,"[""Granger G. Sutton"",""Jane Peterson"",""Josep F. Abril"",""Terrence S. Furey"",""Michael C. Wendl"",""Arian Smit"",""David J. Dooling"",""Sean R. Eddy"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",39.030279507114784,Christopher A. Bristow,"[""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Mark S. Guyer""]",5.187589838748235,"[""LaDeana W. Hillier"",""David R. Bentley"",""Mark T. Ross""]",70
Daniel Carlin,"[""Michael C. Wendl"",""David J. Dooling"",""Robert C. Onofrio"",""Mark S. Guyer""]",2014,Lukas D. Wartman,David J. Witherspoon,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",0.00015031530711221073,Svitlana Tyekucheva,"[""Josep F. Abril"",""Terrence S. Furey"",""Arian Smit"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",18.711594997468953,Zhongwu Lai,"[""Granger G. Sutton"",""Eugene W. Myers"",""Josep F. Abril""]",39.01643054236694,T. Daniel Andrews,"[""Steven E. Scherer"",""Alan Coulson"",""LaDeana W. Hillier"",""David R. Bentley"",""Mark T. Ross""]",5.149561564778508,"[""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton""]",70
Angeliki Kerasidou,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",2014,Jeffery M. Klco,Manuel A. Rivas,"[""Jane Peterson"",""Felsenfeld Al"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""Mark S. Guyer""]",0.0001234098058672453,Timothy E. Reddy,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",18.354885385024584,Jeffery M. Klco,"[""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton""]",38.682484678740536,Jordi Barretina,"[""Jeffrey C. Lee"",""Timothy Fennell"",""Robert C. Onofrio""]",4.9619893057732565,"[""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton""]",68
Sachet A. Shukla,"[""Jane Peterson"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",2014,Vincent Magrini,Brian A Walker,"[""LaDeana W. Hillier"",""David R. Bentley"",""Mark T. Ross""]",0.00010673980592880612,Mark Cadungog,"[""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",17.749632400672418,Jingyi Jessica Li,"[""Michael B. Eisen"",""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",36.029119825751145,Manuel A. Rivas,"[""Jane Peterson"",""Felsenfeld Al"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""Mark S. Guyer""]",4.774341927674227,"[""Granger G. Sutton"",""Jane Peterson"",""Josep F. Abril"",""Terrence S. Furey"",""Michael C. Wendl"",""Arian Smit"",""David J. Dooling"",""Sean R. Eddy"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",62
Zhaoshi Jiang,"[""Granger G. Sutton"",""Deanna M. Church"",""Terrence S. Furey"",""Michael C. Zody"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller""]",2014,Yotam Drier,Petar Stojanov,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",0.00010039296449841038,Wiam Bshara,"[""Nicoletta Sacchi"",""David J. Dooling"",""Robert C. Onofrio"",""Mark S. Guyer""]",16.703267227471017,Timothy E. Reddy,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",35.67588545793503,Svitlana Tyekucheva,"[""Josep F. Abril"",""Terrence S. Furey"",""Arian Smit"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",4.628049796818999,"[""Timothy Fennell"",""Robert C. Onofrio""]",62
Lijia Ma,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent"",""Mark S. Guyer""]",2014,Preti Jain,Francesca Antonacci,"[""Michael C. Zody"",""LaDeana W. Hillier"",""Kevin McKernan""]",8.755366268481248e-05,Hugo Y K Lam,"[""Jane Peterson"",""Felsenfeld Al"",""Stephen T. Sherry"",""Terrence S. Furey"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Webb Miller"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",16.471916159437676,Nathan Boley,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",34.30345371632388,Wiam Bshara,"[""Nicoletta Sacchi"",""David J. Dooling"",""Robert C. Onofrio"",""Mark S. Guyer""]",4.3007972747118535,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",59
T. Daniel Andrews,"[""Steven E. Scherer"",""Alan Coulson"",""LaDeana W. Hillier"",""David R. Bentley"",""Mark T. Ross""]",2014,Gane Ka Shu Wong,Rileen Sinha,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",5.820701033724966e-06,Bryan R. Lajoie,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",16.337124695920075,Gane Ka Shu Wong,"[""Josep F. Abril"",""Terrence S. Furey"",""Arian Smit"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",31.81287782375391,Yinlong Xie,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",4.121607237023733,"[""Josep F. Abril"",""Terrence S. Furey"",""Arian Smit"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",56
Hugo Y K Lam,"[""Jane Peterson"",""Felsenfeld Al"",""Stephen T. Sherry"",""Terrence S. Furey"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Webb Miller"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",2014,Zhongwu Lai,Qunyuan Zhang,"[""Steven E. Scherer"",""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Michael C. Zody"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""Robert C. Onofrio"",""W. James Kent"",""Mark S. Guyer""]",4.282632487025555e-06,Preti Jain,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",15.989424649931347,Preti Jain,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",29.55867913972611,Mark Cadungog,"[""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",4.076148203939556,"[""Granger G. Sutton"",""Eugene W. Myers"",""Josep F. Abril""]",54
Yotam Drier,"[""Timothy Fennell"",""Robert C. Onofrio""]",2014,Bryan R. Lajoie,Christopher A. Bristow,"[""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Mark S. Guyer""]",1.8816729589396457e-06,Jingyi Jessica Li,"[""Michael B. Eisen"",""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",15.640606063450365,Karsten Hokamp,"[""Steven E. Scherer"",""Tobias Doerks"",""Aravind Subramanian"",""Jane Peterson"",""Ian Korf"",""Todd M. Lowe"",""Felsenfeld Al"",""Deanna M. Church"",""Terrence S. Furey"",""Michael C. Wendl"",""Arian Smit"",""Alan Coulson"",""Michael C. Zody"",""Sean R. Eddy"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Kevin McKernan"",""David R. Bentley"",""Mark T. Ross"",""W. James Kent"",""Mark S. Guyer""]",28.78525426767624,Petar Stojanov,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",3.879312566463786,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",49
Rileen Sinha,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",2014,Jordi Barretina,B. Arman Aksoy,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",1.3504220966311072e-06,Zhaoshi Jiang,"[""Granger G. Sutton"",""Deanna M. Church"",""Terrence S. Furey"",""Michael C. Zody"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller""]",15.582627106467225,Bryan R. Lajoie,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",27.82456314314221,David J. Witherspoon,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",3.649656998030704,"[""Jeffrey C. Lee"",""Timothy Fennell"",""Robert C. Onofrio""]",46
Nathan Boley,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",2014,Zhaoshi Jiang,Felix Schlesinger,"[""Terrence S. Furey"",""LaDeana W. Hillier"",""Webb Miller"",""W. James Kent""]",6.627233456583843e-07,Jordi Barretina,"[""Jeffrey C. Lee"",""Timothy Fennell"",""Robert C. Onofrio""]",15.106159741232052,Jordi Barretina,"[""Jeffrey C. Lee"",""Timothy Fennell"",""Robert C. Onofrio""]",26.359820609904748,Jingyi Jessica Li,"[""Michael B. Eisen"",""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",3.529090464445292,"[""Granger G. Sutton"",""Deanna M. Church"",""Terrence S. Furey"",""Michael C. Zody"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller""]",40
Francesca Antonacci,"[""Michael C. Zody"",""LaDeana W. Hillier"",""Kevin McKernan""]",2014,Karsten Hokamp,Lijia Ma,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent"",""Mark S. Guyer""]",3.503058936102735e-07,Selina Vattathil,"[""Granger G. Sutton"",""Arian Smit"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",15.069900690143431,Zhaoshi Jiang,"[""Granger G. Sutton"",""Deanna M. Church"",""Terrence S. Furey"",""Michael C. Zody"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller""]",24.77579149914314,Lijia Ma,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent"",""Mark S. Guyer""]",3.296628010554287,"[""Steven E. Scherer"",""Tobias Doerks"",""Aravind Subramanian"",""Jane Peterson"",""Ian Korf"",""Todd M. Lowe"",""Felsenfeld Al"",""Deanna M. Church"",""Terrence S. Furey"",""Michael C. Wendl"",""Arian Smit"",""Alan Coulson"",""Michael C. Zody"",""Sean R. Eddy"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Kevin McKernan"",""David R. Bentley"",""Mark T. Ross"",""W. James Kent"",""Mark S. Guyer""]",37
Jeffery M. Klco,"[""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton""]",2014,Zhuzhu Zhang,Yinlong Xie,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",9.52479596024824e-08,Zhuzhu Zhang,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",14.711629098228276,Selina Vattathil,"[""Granger G. Sutton"",""Arian Smit"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",22.7915202985195,Rileen Sinha,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",3.0849692310190298,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",35
Selina Vattathil,"[""Granger G. Sutton"",""Arian Smit"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",2014,Selina Vattathil,Deqing Pei,"[""David J. Dooling"",""Lucinda Fulton""]",6.697782625424324e-09,Nathan Boley,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",14.423564149672284,Zhuzhu Zhang,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",22.452519522419106,B. Arman Aksoy,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",3.0152453076628882,"[""Granger G. Sutton"",""Arian Smit"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",35
Gane Ka Shu Wong,"[""Josep F. Abril"",""Terrence S. Furey"",""Arian Smit"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",2014,Francesca Antonacci,Jordi Barretina,"[""Jeffrey C. Lee"",""Timothy Fennell"",""Robert C. Onofrio""]",4.365541220774647e-09,Francesca Antonacci,"[""Michael C. Zody"",""LaDeana W. Hillier"",""Kevin McKernan""]",13.996381804893904,Francesca Antonacci,"[""Michael C. Zody"",""LaDeana W. Hillier"",""Kevin McKernan""]",21.442001697585106,Qunyuan Zhang,"[""Steven E. Scherer"",""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Michael C. Zody"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""Robert C. Onofrio"",""W. James Kent"",""Mark S. Guyer""]",2.966930496627685,"[""Michael C. Zody"",""LaDeana W. Hillier"",""Kevin McKernan""]",33
Georgi K. Marinov,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",2014,Lijia Ma,Mara Rosenberg,"[""Michael C. Wendl"",""Timothy Fennell"",""Robert C. Onofrio""]",1.933784165767394e-09,Sarah M. McWhirter,"[""Tom Maniatis""]",11.970312433588619,Lijia Ma,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent"",""Mark S. Guyer""]",17.971602282460164,Nathan Boley,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",2.6976700233314057,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent"",""Mark S. Guyer""]",32
Manuel A. Rivas,"[""Jane Peterson"",""Felsenfeld Al"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""Mark S. Guyer""]",2014,Sarah M. McWhirter,Nathan Boley,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",1.9176961007041492e-13,Jean-Philippe Theurillat,"[""Timothy Fennell"",""Robert C. Onofrio""]",10.817534273324004,Sarah M. McWhirter,"[""Tom Maniatis""]",17.960966338767317,Hugo Y K Lam,"[""Jane Peterson"",""Felsenfeld Al"",""Stephen T. Sherry"",""Terrence S. Furey"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Webb Miller"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",2.6186545983910583,"[""Tom Maniatis""]",27
Daniel J. Weisenberger,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",2014,Jean-Philippe Theurillat,Angeliki Kerasidou,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",1.88555214693269e-17,Lijia Ma,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent"",""Mark S. Guyer""]",10.151392179127877,Jean-Philippe Theurillat,"[""Timothy Fennell"",""Robert C. Onofrio""]",15.387235944188037,Angeliki Kerasidou,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",2.5658996287617595,"[""Timothy Fennell"",""Robert C. Onofrio""]",22
Preti Jain,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",2014,T. Daniel Andrews,Gordon Saksena,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",2.778175154293943e-44,T. Daniel Andrews,"[""Steven E. Scherer"",""Alan Coulson"",""LaDeana W. Hillier"",""David R. Bentley"",""Mark T. Ross""]",10.113976401004678,T. Daniel Andrews,"[""Steven E. Scherer"",""Alan Coulson"",""LaDeana W. Hillier"",""David R. Bentley"",""Mark T. Ross""]",14.210710156024033,Gordon Saksena,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",1.4974409025861408,"[""Steven E. Scherer"",""Alan Coulson"",""LaDeana W. Hillier"",""David R. Bentley"",""Mark T. Ross""]",20
