last_author_yr,last_author_yr_top_collabs,last_author_yr_val,unique_coauthor_profs,unique_coauthor_profs_exp_damp,unique_coauthor_profs_exp_damp_top_collabs,unique_coauthor_profs_exp_damp_val,unique_coauthor_profs_lin_damp,unique_coauthor_profs_lin_damp_top_collabs,unique_coauthor_profs_lin_damp_val,unique_coauthor_profs_sqrt_damp,unique_coauthor_profs_sqrt_damp_top_collabs,unique_coauthor_profs_sqrt_damp_val,unique_coauthor_profs_square_damp,unique_coauthor_profs_square_damp_top_collabs,unique_coauthor_profs_square_damp_val,unique_coauthor_profs_top_collabs,unique_coauthor_profs_val
Zamin Iqbal,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",2015,Zamin Iqbal,Zhongwu Lai,"[""Granger G. Sutton"",""Eugene W. Myers"",""Josep F. Abril""]",0.03886577682004976,Brian A Walker,"[""LaDeana W. Hillier"",""David R. Bentley"",""Mark T. Ross""]",29.29265088612259,David J. Witherspoon,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",91.30145388163565,Vincent Magrini,"[""Granger G. Sutton"",""Jane Peterson"",""Josep F. Abril"",""Terrence S. Furey"",""Michael C. Wendl"",""Arian Smit"",""David J. Dooling"",""Sean R. Eddy"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",10.698011910140297,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",401
Wiam Bshara,"[""Nicoletta Sacchi"",""David J. Dooling"",""Robert C. Onofrio"",""Mark S. Guyer""]",2015,Hugo Y K Lam,Vincent Magrini,"[""Granger G. Sutton"",""Jane Peterson"",""Josep F. Abril"",""Terrence S. Furey"",""Michael C. Wendl"",""Arian Smit"",""David J. Dooling"",""Sean R. Eddy"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",0.0378185570826107,Efsevia Vakiani,"[""Jane Peterson"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",29.056960635507718,Angeliki Kerasidou,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",89.70770361798685,Lukas D. Wartman,"[""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton""]",9.201865799170855,"[""Jane Peterson"",""Felsenfeld Al"",""Stephen T. Sherry"",""Terrence S. Furey"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Webb Miller"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",379
Deqing Pei,"[""David J. Dooling"",""Lucinda Fulton""]",2015,Gordon Saksena,Yotam Drier,"[""Timothy Fennell"",""Robert C. Onofrio""]",0.031949864975734515,Mara Rosenberg,"[""Michael C. Wendl"",""Timothy Fennell"",""Robert C. Onofrio""]",28.47661860953883,Qunyuan Zhang,"[""Steven E. Scherer"",""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Michael C. Zody"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""Robert C. Onofrio"",""W. James Kent"",""Mark S. Guyer""]",89.35518154283139,Daniel J. Weisenberger,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",8.672606137031357,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",379
Qunyuan Zhang,"[""Steven E. Scherer"",""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Michael C. Zody"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""Robert C. Onofrio"",""W. James Kent"",""Mark S. Guyer""]",2015,Daniel Carlin,Wiam Bshara,"[""Nicoletta Sacchi"",""David J. Dooling"",""Robert C. Onofrio"",""Mark S. Guyer""]",0.0315111978241144,Zhongwu Lai,"[""Granger G. Sutton"",""Eugene W. Myers"",""Josep F. Abril""]",28.326477100229848,Yinlong Xie,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",86.68255006959214,Jeffery M. Klco,"[""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton""]",8.412178540591437,"[""Michael C. Wendl"",""David J. Dooling"",""Robert C. Onofrio"",""Mark S. Guyer""]",362
Trevor J. Pugh,"[""Timothy Fennell"",""Robert C. Onofrio""]",2015,Trevor J. Pugh,Peter H. Sudmant,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",0.02702219237375486,Deqing Pei,"[""David J. Dooling"",""Lucinda Fulton""]",26.712412421275573,Zamin Iqbal,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",85.80908289777487,Mara Rosenberg,"[""Michael C. Wendl"",""Timothy Fennell"",""Robert C. Onofrio""]",7.9536991463559925,"[""Timothy Fennell"",""Robert C. Onofrio""]",274
Brian A Walker,"[""LaDeana W. Hillier"",""David R. Bentley"",""Mark T. Ross""]",2015,Wiam Bshara,Hugo Y K Lam,"[""Jane Peterson"",""Felsenfeld Al"",""Stephen T. Sherry"",""Terrence S. Furey"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Webb Miller"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",0.026951787996341826,B. Arman Aksoy,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",25.752959317541105,Christopher A. Bristow,"[""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Mark S. Guyer""]",73.91951165740682,Daniel Carlin,"[""Michael C. Wendl"",""David J. Dooling"",""Robert C. Onofrio"",""Mark S. Guyer""]",7.773815353276197,"[""Nicoletta Sacchi"",""David J. Dooling"",""Robert C. Onofrio"",""Mark S. Guyer""]",262
Sarah M. McWhirter,"[""Tom Maniatis""]",2015,Christopher A. Bristow,Sahil Seth,"[""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",0.023635590385906312,Christopher A. Bristow,"[""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Mark S. Guyer""]",25.10116264881379,Hugo Y K Lam,"[""Jane Peterson"",""Felsenfeld Al"",""Stephen T. Sherry"",""Terrence S. Furey"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Webb Miller"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",73.32764005363032,Gane Ka Shu Wong,"[""Josep F. Abril"",""Terrence S. Furey"",""Arian Smit"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",7.391959087895887,"[""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Mark S. Guyer""]",262
Svitlana Tyekucheva,"[""Josep F. Abril"",""Terrence S. Furey"",""Arian Smit"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",2015,Petar Stojanov,Daniel J. Weisenberger,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",0.020380858005158858,Vincent Magrini,"[""Granger G. Sutton"",""Jane Peterson"",""Josep F. Abril"",""Terrence S. Furey"",""Michael C. Wendl"",""Arian Smit"",""David J. Dooling"",""Sean R. Eddy"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",24.94158150522693,Petar Stojanov,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",62.30078615674346,Timothy E. Reddy,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",7.254242227854634,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",250
Petar Stojanov,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",2015,Svitlana Tyekucheva,Zamin Iqbal,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",0.020275283137384213,Zamin Iqbal,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",24.932974599218298,Georgi K. Marinov,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",62.09044762071121,Selina Vattathil,"[""Granger G. Sutton"",""Arian Smit"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",6.956525898481599,"[""Josep F. Abril"",""Terrence S. Furey"",""Arian Smit"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",248
Mark Cadungog,"[""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",2015,Mark Cadungog,Preti Jain,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",0.017865052676658864,Lukas D. Wartman,"[""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton""]",24.586218532795893,Svitlana Tyekucheva,"[""Josep F. Abril"",""Terrence S. Furey"",""Arian Smit"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",61.09679778145966,Zhuzhu Zhang,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",6.793131373653599,"[""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",233
Sahil Seth,"[""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",2015,Sachet A. Shukla,Zhaoshi Jiang,"[""Granger G. Sutton"",""Deanna M. Church"",""Terrence S. Furey"",""Michael C. Zody"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller""]",0.01239426339374505,Yinlong Xie,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",23.585012462930425,Wiam Bshara,"[""Nicoletta Sacchi"",""David J. Dooling"",""Robert C. Onofrio"",""Mark S. Guyer""]",59.6127843698087,Deqing Pei,"[""David J. Dooling"",""Lucinda Fulton""]",6.767868850483889,"[""Jane Peterson"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",195
Zhongwu Lai,"[""Granger G. Sutton"",""Eugene W. Myers"",""Josep F. Abril""]",2015,Georgi K. Marinov,Gane Ka Shu Wong,"[""Josep F. Abril"",""Terrence S. Furey"",""Arian Smit"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",0.007731327836651924,Felix Schlesinger,"[""Terrence S. Furey"",""LaDeana W. Hillier"",""Webb Miller"",""W. James Kent""]",23.47004816454329,Mark Cadungog,"[""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",58.37018564125621,Zhaoshi Jiang,"[""Granger G. Sutton"",""Deanna M. Church"",""Terrence S. Furey"",""Michael C. Zody"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller""]",6.515434641069218,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",147
Vincent Magrini,"[""Granger G. Sutton"",""Jane Peterson"",""Josep F. Abril"",""Terrence S. Furey"",""Michael C. Wendl"",""Arian Smit"",""David J. Dooling"",""Sean R. Eddy"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",2015,Deqing Pei,Daniel Carlin,"[""Michael C. Wendl"",""David J. Dooling"",""Robert C. Onofrio"",""Mark S. Guyer""]",0.0046418544571284436,Gordon Saksena,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",23.449408114480573,Deqing Pei,"[""David J. Dooling"",""Lucinda Fulton""]",54.631303594941606,Bryan R. Lajoie,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",6.253142949472818,"[""David J. Dooling"",""Lucinda Fulton""]",114
Felix Schlesinger,"[""Terrence S. Furey"",""LaDeana W. Hillier"",""Webb Miller"",""W. James Kent""]",2014,Felix Schlesinger,Jean-Philippe Theurillat,"[""Timothy Fennell"",""Robert C. Onofrio""]",0.0023921481631886303,David J. Witherspoon,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",23.385024012810256,Mara Rosenberg,"[""Michael C. Wendl"",""Timothy Fennell"",""Robert C. Onofrio""]",54.28159307278962,Felix Schlesinger,"[""Terrence S. Furey"",""LaDeana W. Hillier"",""Webb Miller"",""W. James Kent""]",6.243805107589992,"[""Terrence S. Furey"",""LaDeana W. Hillier"",""Webb Miller"",""W. James Kent""]",108
Karsten Hokamp,"[""Steven E. Scherer"",""Tobias Doerks"",""Aravind Subramanian"",""Jane Peterson"",""Ian Korf"",""Todd M. Lowe"",""Felsenfeld Al"",""Deanna M. Church"",""Terrence S. Furey"",""Michael C. Wendl"",""Arian Smit"",""Alan Coulson"",""Michael C. Zody"",""Sean R. Eddy"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Kevin McKernan"",""David R. Bentley"",""Mark T. Ross"",""W. James Kent"",""Mark S. Guyer""]",2014,Efsevia Vakiani,Bryan R. Lajoie,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",0.0017387666357288993,Angeliki Kerasidou,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",22.596953014082807,Efsevia Vakiani,"[""Jane Peterson"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",53.27673362281458,Zamin Iqbal,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",6.1333935345694,"[""Jane Peterson"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",105
