"name","top_collabs","num_pubs","avg_PR","max_PR","median_PR"
"Francesco Paolo Di Giorgio","[""Tom Maniatis""]","1","0.1925086883462602","0.1925086883462602","0.1925086883462602"
"Sarah M. McWhirter","[""Tom Maniatis""]","2","0.08106265477068408","0.10038369126056142","0.08106265477068408"
"Anna C. Obenauf","[""Joan Massagué""]","1","0.34568159298995305","0.34568159298995305","0.34568159298995305"
"Andrea Scrima","[""Nikola P. Pavletich""]","1","0.08256068156153434","0.08256068156153434","0.08256068156153434"
"Jordi Barretina","[""Robert C. Onofrio""]","2","0.0416084648832679","0.044346344499839346","0.0416084648832679"
"Jonathan C. Hagopian","[""Nikola P. Pavletich""]","1","0.12456285014378096","0.12456285014378096","0.12456285014378096"
"Luke J. Engelking","[""Joseph L. Goldstein""]","1","0.1418492672772344","0.1418492672772344","0.1418492672772344"
"Zhucheng Chen","[""Nikola P. Pavletich""]","4","0.11443752772496031","0.11638171740220689","0.11448143479241321"
