last_author_yr,last_author_yr_val,unique_coauthor_profs,unique_coauthor_profs_exp_damp,unique_coauthor_profs_exp_damp_val,unique_coauthor_profs_lin_damp,unique_coauthor_profs_lin_damp_val,unique_coauthor_profs_sqrt_damp,unique_coauthor_profs_sqrt_damp_val,unique_coauthor_profs_square_damp,unique_coauthor_profs_square_damp_val,unique_coauthor_profs_val
Megan Mohadjer Beromi,2017,A. Kozlinskiy,Mu-Hyun Baik,0.94482417213269,Tomas Marques-Bonet,87.43111402295611,L. Bäni,230.073052708409,Anand Vaidya,37.46591530305585,2441
J. Matunis Michael,2017,J. R. Vlimant,D. D. Coffman,0.9444636396410292,Hailei Zhang,87.40868119902474,Y. M. Tzeng,230.073052708409,Yoshiko Atsuta,37.421184590915324,2441
Xiang‐Yu Chen,2017,Laurent Forthomme,Richardson W,0.9438837664114388,Alessandra Ferrajoli,87.20571521051153,W. To,230.073052708409,Bijal D. Shah,37.419812851049095,2441
Kimi Kong,2017,O. Charaf,Rodger P. McEver,0.9400435141365244,Steven Le Gouill,87.09176911030805,A. Tumasyan,230.073052708409,Ruben Niesvizky,37.37063056916657,2441
Caitlin C. Morrison,2017,S. Oggero,Felix Mitelman,0.9395298625218592,Anna Schuh,86.84315394938187,F. De Guio,230.073052708409,Luca Arcaini,37.34464813412189,2441
Brandon M. Triplett,2017,M. Planer,Paul A. Wender,0.9367571815059932,H. Jean Khoury,86.75111819774936,G. Auzinger,230.073052708409,Fenghuang Zhan,37.34129129234726,2441
Yao-Ping Xie,2017,B. Kargoll,Yogesh Surendranath,0.9355342255285772,Jeffrey Zonder,86.50650750616161,J. Lingemann,230.073052708409,Bernhard Nieswandt,37.306911098845,2441
Rd Shepherd,2017,S. Casasso,Marc E. Lippman,0.9330169437455784,Jennifer R. Wortman,86.49962405989847,T. Peltola,230.073052708409,Rita Shaknovich,37.24355263950236,2441
Alejandro Herrero-San Martín,2017,S. Röcker,William C. Rose,0.9312822190103416,Frank Rigo,85.99670685503892,P. Klabbers,230.07305270840888,Dean W. Felsher,37.10869783553744,2441
Cong-Xia Lu,2017,F. Dupertuis,Robert J. Lefkowitz,0.93086955815133,Maria E. Arcila,85.79823659738034,F. Golf,230.07305270840888,Elli Papaemmanuil,37.09972510091208,2441
Marion Joy,2017,N. Pozzobon,Richard J. Block,0.9307814964430468,David Valcárcel,85.7918475030594,V. Oreshkin,230.07305270840888,Katsuya Okawa,36.95082568850167,2441
Moritz F. Sinner,2017,A. Randle-Conde,Theodore S. Widlanski,0.9307716063207218,Daniel B. Mirel,85.77202854493261,N. Odell,230.07305270840888,Steffen Massberg,36.93894272023636,2441
Thomas Myint,2017,L. Cojocariu,Daan M. F. van Aalten,0.9306000241191557,Aline Renneville,85.76474255260901,D. M. Morse,230.07305270840888,Marjorie Robert-Guroff,36.9375624686969,2441
Yuka Matsuda,2017,L. Cassina,A. I. Ringer,0.9286274289873268,Ravi Vij,85.70278477290059,A. Massironi,230.07305270840888,Patrice Chevallier,36.910291263919135,2441
Manuel Matt,2017,M. Coombes,Walter Lovenberg,0.9281835105405716,Kevin V. Shianna,85.44961956415098,D. Velicanu,230.07305270840888,Jakub Tolar,36.87046962248558,2441
Alessandro Delitala,2017,C. Contreras-Campana,Alexander I. Popov,0.9264382587992884,Omri Gottesman,85.09980189334038,I. Gonzalez Caballero,230.07305270840888,Austin Kulasekararaj,36.807658342732076,2441
Antoni P. A. Hendrickx,2017,D. Voong,J D Lambeth,0.9252241457183632,Ramiro Garzon,85.06033938942616,A. Van Spilbeeck,230.07305270840888,Francesco Passamonti,36.8045692923986,2441
George Van Buren,2017,Sa. Jain,W S May,0.9232118746253648,Adam S. Butterworth,84.97096834155016,P. Lamichhane,230.07305270840888,Naoshi Dohmae,36.53317379695185,2441
