last_author_yr,last_author_yr_val,unique_coauthor_profs,unique_coauthor_profs_exp_damp,unique_coauthor_profs_exp_damp_val,unique_coauthor_profs_lin_damp,unique_coauthor_profs_lin_damp_val,unique_coauthor_profs_sqrt_damp,unique_coauthor_profs_sqrt_damp_val,unique_coauthor_profs_square_damp,unique_coauthor_profs_square_damp_val,unique_coauthor_profs_val
Guo Cong Guo,2017,S. Blyweert,W. von E. Doering,1.1509274341753744,Massimo Breccia,105.449107892339,Adam S. Butterworth,268.3420567593974,Jürgen Krauter,44.85182483628787,3375
Jakob Lind Olsen,2017,K. Ozdemir,Leonard Ellman,1.1463883507200243,Huyen Dinh,105.23676943157659,Pirro G. Hysi,267.7105081119828,H. Jean Khoury,44.788059986001684,3375
Sagi D. Shapira,2017,L. Perrozzi,Craig B. Thompson,1.1429674385771775,Michiaki Kubo,104.83033104915742,Asif T. Chinwalla,267.58982815276994,Alessandra Ferrajoli,44.75571364469025,3375
Leifeng Wang,2017,R. Plestina,N. C. Yang,1.1396574469923668,Aaron McKenna,104.5631140478591,Yurii S. Aulchenko,267.2811632352786,Bryan T. Hennessy,44.7229967770008,3375
Daria G. Valerio,2017,S. Taroni,Andrew E. Rosenberg,1.1376291825591038,Julie M. Gastier-Foster,104.48405935554631,Amélie Bonnefond,266.8354052389648,Matthias Stelljes,44.72001185348393,3375
Linda Hovanessian-Larsen,2017,Gianni Zumerle,E G Lapetina,1.1321081170959626,Nathan Fowler,104.44851957343236,Fabio Ciceri,265.887326054237,Paul M. Barr,44.628732228301104,3375
Adriana Jimena Bernal,2017,Mihee Jo,E. S. Guzman Barron,1.1264039491445927,Paul M. Barr,104.36005534187244,Pim van der Harst,264.0347232790768,Matthew G. Vander Heiden,44.442148723233906,3375
Yuanxing Fang,2017,L. Vanelderen,Charlotte L. Stern,1.1244671445857275,Rab K. Prinjha,103.69189913019336,Christian Dina,262.0947207781288,Steven J. Isakoff,44.40396231423075,3375
Dalia E. Gaddis,2017,Abdulla Abdulsalam,Jeffrey I. Gordon,1.1237809734146584,John R B Perry,103.46871088021128,Jennifer E. Huffman,261.98194251782763,Barbara Pro,44.378650758741344,3375
David W. Cescon,2017,N. Heracleous,Garth L. Nicolson,1.1207543214145186,Richard R. Furman,102.79102587559977,Kerstin Lindblad-Toh,261.39063305644703,Claudia Haferlach,44.33871991891442,3375
Stephen L. Aronoff,2017,K. Theofilatos,R C Mulligan,1.115624901096088,Adam Butler,102.4786110068968,Kati Kristiansson,258.81474663013057,Jeroen Demmers,44.24802221833047,3375
Noelle L. Williams,2017,E. De La Cruz-Burelo,Eric Karsenti,1.111255608699158,Raoul Tibes,102.00405208005138,Eric A. Collisson,257.65233279054587,Felicitas Thol,43.97257592691715,3375
Zsuzsanna Darula,2017,J. Marrouche,Maurice M. Reeder,1.1081319407555372,Hyun Min Kang,101.75818605415813,Janet E. Olson,257.50319276072554,Eric A. Collisson,43.88004068931348,3375
Acacio Cardoso Amaral,2017,W. D. Teo,Candace B. Pert,1.1049010158846475,Guillaume Lettre,101.61813992416701,Ala'a Alkerwi,256.14270827186004,Rab K. Prinjha,43.87244688058193,3375
Jessica Pettitt,2017,N. Wickramage,Scott D. Rychnovsky,1.1018680360582194,Alice T. Shaw,101.39695461184364,Stéphane Cauchi,255.91443571359108,Christoph Loddenkemper,43.69991308545062,3375
Yuyong Ma,2017,S. R. Dugad,Marye Anne Fox,1.0984048198133691,Franck E. Nicolini,101.37521331461788,Michela Traglia,255.06731439781362,Neil P. Shah,43.62115874263333,3375
Erika von Euw,2017,O. Bondu,Gary D. Glick,1.0981758838790898,Leandro Cerchietti,101.1037354042474,Rajiv Chowdhury,252.10439802407842,Albert B. Deisseroth,43.558287382992155,3375
Alejandro Mata-Cabana,2017,M. Edelhoff,Philip Handler,1.0956068430963173,Laura Z. Rassenti,100.6127998173228,Aung Soe Htet,251.7029810338468,Kenneth W. Kinzler,43.48205299745726,3375
Liat Apel-Sarid,2017,S. Gonzi,D. S. Tarbell,1.094106018888558,Karen L. Mohlke,100.57438850211241,Christopher Newton-Cheh,250.7367548488461,Sagar Lonial,43.44800148477685,3375
Caodu Buren,2017,M. Bachtis,Nathan Ford,1.0839584958290762,Stefania Bandinelli,100.31945075726364,Jirong Long,250.5119624061869,Naval Daver,43.371523402815285,3375
Aishwarya Shevade,2017,R. Schöfbeck,Frank Grosveld,1.0829551562385709,Ian E. Krop,100.28369642758177,Manuel Mattheisen,248.54271839224893,Irina Maric,43.24341033280476,3375
Sandrine Morell-Dubois,2017,M. Chasco,Herrick L. Johnston,1.0826822658929016,Joshua C. Bis,100.18541996704909,Levi A. Garraway,248.16554022148625,Silvia Montoto,43.233408477339246,3375
Lucia Carbone,2017,J. Lingemann,Gretchen Vogel,1.0826822658929016,Marcus E. Kleber,99.71168250414024,Anja Rudolph,248.1490135965149,John E. Pimanda,43.201562489631776,3375
Caroline Sutter,2017,A. Y. Rodríguez-Marrero,Ernst D. Bergmann,1.0826822658929016,Kwok-Kin Wong,99.55870962738156,Niels Grarup,246.05269553844062,Ulrich Duehrsen,42.957341822755545,3375
Andrea Sartore-Bianchi,2017,C. Calabria,JayA. Levy,1.081773381236977,Themistocles L. Assimes,99.5332041039855,Douglas A. Levine,245.45765631266488,Ju-Seog Lee,42.815765236812226,3375
Nick Beije,2017,A. Grebenyuk,George T. Bryan,1.0804709468762759,Annalisa Ruggeri,99.33008037210409,Xiaosen Guo,244.9258018823422,Aldo M. Roccaro,42.6814572852066,3375
Karineh Kazazian,2017,W. Kiesenhofer,W S Lane,1.0799446652948357,Harald Grallert,99.32077867284792,G. Kees Hovingh,244.82429256526137,John M. Koomen,42.65035480738696,3375
Marc-André Lécuyer,2017,H. D. Yoo,Steven Dickman,1.0743033184541004,Devin Absher,99.1798445533198,Andre Franke,244.45693472433223,Steven Le Gouill,42.5995314101174,3375
Yaroslav A. Andreev,2017,H. Van Haevermaet,Jeffery D. Molkentin,1.072879977846419,Anna Candoni,98.9025862786108,Patrick Sleiman,243.53848582101662,Luciana Marinelli,42.531106432542366,3375
Eleonora Leucci,2017,D. Ferencek,Richard D. Klausner,1.069307537274239,Nabeel Bardeesy,98.71675030703005,Peter S. Hammerman,243.07375627475255,Andreas Rosenwald,42.4822497073153,3375
Silong Xu,2017,A. Luthra,Daniel G. Tenen,1.0683169000407908,Matthew G. Vander Heiden,98.63353085137356,Yoon Shin Cho,242.8943251604576,Massimo Breccia,42.473747698525656,3375
Peizhi Mai,2017,L. Bäni,Carl T. Bahner,1.0630741655745084,Daniel J. DeAngelo,98.59906050236204,Stefan M. Pfister,242.45243843918254,Helgi van de Velde,42.41746762752835,3375
Dapeng Ren,2017,M. Kirakosyan,Robert I. Handin,1.0619320435074442,Jürgen Krauter,98.57138225027872,Marc Remke,242.43791718477797,Alexei Protopopov,42.38478306590983,3375
Laura Colinas,2017,H. Kirschenmann,Michael J. Brownstein,1.0594256938973263,Lauren Averett Byers,98.45278319595316,Payal Sipahimalani,242.33055176550357,Eric Padron,42.33749965439213,3375
Huiling Tan,2017,S. Naumann-Emme,Mike Mueckler,1.0539197000539018,Helgi van de Velde,98.28993450565487,J. Brent Richards,241.69352183903297,Shu Seki,42.313628859636104,3375
Ivan Gušic,2017,M. Vutova,Paul P. Carbone,1.0511639879663899,Patrick Sleiman,98.11459439589217,Ozren Polasek,241.63240801669056,Murim Choi,42.2625372035864,3375
Sabina Tahirovic,2017,A. De Cosa,Peter J. Wagner,1.0501531222498868,Jonathan L. Kaufman,97.78758955991606,Tanja Zeller,241.44794708782973,Rainer Schwerdtfeger,42.26253104242381,3375
Heljä-Marja Surcel,2017,M. Görner,Emma Marris,1.0486177514455053,Guido Marcucci,97.67821735445786,Karol Estrada,240.4650412044844,Ramon V. Tiu,41.921622381409385,3375
Lixiu Wang,2017,Tõnu Esko,H. Franklin Bunn,1.0480204531005064,Mikkael A. Sekeres,97.5936996439985,Tanya M. Teslovich,240.1602649051028,Daniela Cilloni,41.73708890845708,2933
Nicholas LeCroy,2017,O. Evdokimov,George B. Kistiakowsky,1.0469211193920167,Dolores Caballero,97.38406246880736,Daniel J. Weisenberger,239.57951588415372,Anthony Wynshaw-Boris,41.71107530148257,2719
Elizabeth Sage Colombo,2017,S. Belogurov,Henry Eyring,1.0469211193920167,Manel Esteller,97.23777009749493,Daniel G. MacArthur,238.5894339595909,Omar K. Farha,41.59482883474463,2519
Marjo K. Hytönen,2017,M. Cwiok,Richard K. Root,1.0459079401468416,Yurii S. Aulchenko,96.35415905858444,Inanc Birol,238.30224354385442,Yeo-Kyeoung Kim,41.47036412343363,2504
Zachary A. Bornholdt,2017,Nicole Soranzo,Michael J. DeNiro,1.0448822776130489,Christopher Newton-Cheh,96.27105596926799,Michael N. Weedon,236.6959609936203,Uday Popat,41.37424394304885,2504
Marat Orazov,2017,C. Vernieri,Martin J. Cline,1.0446523531520158,Andrea Pellagatti,96.06806286181627,Jubao Duan,236.47778429235947,Andrea L. Richardson,41.355019002390414,2450
Nailiang Yang,2017,B. Rachwal,Arthur Roe,1.043457903147167,Andreas Rosenwald,95.87643681602492,Irene Mateo Leach,236.29343826586796,Ajay K. Nooka,41.23558654490433,2449
Tovah N. Shaw,2017,L. Sgandurra,Walter S. Trahanovsky,1.039994686902317,Dharminder Chauhan,95.61945864334734,Cyril H. Benes,235.8079943671111,Miles Prince,41.08491863906825,2441
Deciphering Developmental Disorders Study,2017,L. Calligaris,Hans B. Jonassen,1.0394415585688193,Raajit Rampal,95.25924253339178,Benjamin L. Ebert,235.27264323764967,Frank Rigo,40.92407161400835,2441
Andra I. Duncan,2017,S. Dittmer,Harry B. Gray,1.0391760254607685,Jonine D. Figueroa,95.1661122987096,N. William Rayner,234.97888885838964,Jacob D. Estes,40.73399928856188,2441
Lisa Suntrup,2017,M. Komm,P. S. Skell,1.036836070410384,Daniel G. MacArthur,94.93657519986027,Stuart R. Jefferys,234.688187753593,Ajai Chari,40.51664568269575,2441
John R. Goodlad,2017,Raffaele Tito D'Agnolo,William F. DeGrado,1.0345483069245724,Xuhong Cao,94.91420959703899,Mingyao Li,234.23661926588062,Jeffrey Zonder,40.4388936595228,2441
Julie M. Fox,2017,A. Vallier,Ben A. Barres,1.0284505667410375,Qiuyin Cai,94.74822259290009,Mahboubeh Parsaeian,233.86954576840532,Ulrich Germing,40.41785645468393,2441
Daniel Garcia-Santos,2017,M. Centis Vignali,Iain C. Paul,1.0243330723430122,Tapan Kadia,94.6477673249942,Yoichiro Kamatani,232.8411127476549,Steffen Koschmieder,40.25325286579443,2441
Seok-Jin R. Lee,2017,M. Baber,Danny Reinberg,1.0224510783100178,Ruth J. F. Loos,94.1406356297577,Anna Köttgen,232.5553471187013,Chu-Xia Deng,40.24217635609507,2441
V Upadhyaya,2017,B. Michlin,H. P. Koeffler,1.020445449404126,Thomas S. Lin,94.02580589799885,Santhi K. Ganesh,232.3197780415917,Franck Morschhauser,40.168382320465504,2441
Ka Fung Noi,2017,S. T. Harnew,Steven J. Burakoff,1.0119915469414529,Cameron Brennan,93.913120852693,Kathryn Beal,231.9035792950574,Stephen M. Ansell,40.16685532449184,2441
Michael Füeg,2017,C. Langenbruch,Wesley W. Wendlandt,1.0022938993224917,Bryan T. Hennessy,93.62581204433857,Marilyn C. Cornelis,231.52999311556184,Brian J. Druker,40.08918124522147,2441
Allison M. Lake,2017,F. Lionetto,Carlo M. Croce,1.0002808239966603,Wolf-Karsten Hofmann,93.4221160009237,Diether Lambrechts,230.74599268162208,Anna Candoni,39.99048621462215,2441
Laura‐Alice Jantke,2017,A. Oblakowska-Mucha,Stephen J. Lippard,0.99706409888628,Rainer Schwerdtfeger,93.38901779769377,N. Beni,230.0730527084093,Ninette Amariglio,39.99023175953845,2441
Denis P. Blondin,2017,N. Chiapolini,Paul Smaglik,0.9966009238533086,Tanja Zeller,93.22507154993427,Raman Khurana,230.07305270840928,J-Y Pierga,39.88865740330794,2441
Artem A. Bakulin,2017,N. Eggert,F. W. Alt,0.9957938368383256,Naval Daver,92.870500755677,D. Vishnevskiy,230.07305270840928,Ramiro Garzon,39.8607624096661,2441
Petrus F. Kuijpers,2017,M. Hoballah,Thomas M. Rivers,0.9955057273300564,Eric Padron,92.52299013245434,A. Luthra,230.07305270840928,Raajit Rampal,39.77471947532776,2441
Aashish Priye,2017,N. Torr,J. B. Conant,0.988019918547104,Irina Maric,92.4401181566253,O. Bondu,230.07305270840928,Tyler Jacks,39.71656734619822,2441
Andrés Clemente‐Blanco,2017,P. Ruiz Valls,Chester A. Alper,0.986896188336922,Noel-Jean Milpied,92.38038734161124,A. De Cosa,230.0730527084092,Stephanie J. Lee,39.56287377584835,2441
Nathan D. Kirchhofer,2017,M. Quittnat,Bert W. O'Malley,0.9847055605106352,Stella Trompet,91.92707629538563,D. Ferencek,230.0730527084092,Peter S. Hammerman,39.53887438695655,2441
Wendy L. Imlach,2017,R. Märki,E L Reinherz,0.9827762276836508,Manuela Uda,91.89263184054545,D. Sabes,230.0730527084092,Richard G. Pestell,39.496014918438256,2441
Katherine L. Orchard,2017,K. Androsov,P. Andrew Evans,0.9817354790617148,Christoph Röllig,91.67443406156208,M. Kirakosyan,230.0730527084092,Peter J. M. Valk,39.491342465153615,2441
Dagmar Zeuschner,2017,J. Keaveney,Vincent T. DeVita,0.9797565920088068,Qinghu Ren,91.58500802486671,N. Heracleous,230.0730527084092,Wu Depei,39.39688013513782,2441
Mingyang Xing,2017,I. Bucinskaite,G Griffiths,0.9783493895277752,Jacqueline C. Barrientos,91.3712918456782,S. Gonzi,230.0730527084092,Amir T. Fathi,39.20455668680215,2441
Jimmy Duong,2017,F. Alessio,Russell S. Drago,0.9776060711333556,Steven J. Isakoff,91.3656984147655,M. Edelhoff,230.0730527084092,Mark Levis,39.197038175603254,2441
Susumu Goyama,2017,P. Everaerts,Rudolf Schoenheimer,0.9753797711297248,Gudrun Nürnberg,91.23375996071371,T. Medvedeva,230.0730527084092,Hediye Erdjument-Bromage,39.175312348469866,2441
